Title,Address,Phone,country_code,Website,Emails
"Ten 11 Lounge, Biratnagar","F73H+J7F, Himalaya Rd, विराटनगर 56613",+9779711398810,977,,null
Tandav Night Club,"F77J+35J, सत्य नारायण मार्ग, विराटनगर 56613",+9779816696969,977,,null
VIRAL HOOD DANCE STUDIO,"Back side of Centurion Mall, Opp. Paarijat Fast Food Cafe, Shukrpath Road, विराटनगर 56613",+9779804050464,977,https://facebook.com,null
Yogi's,"F7PC+38X, Airport Rd, विराटनगर 56613",+9779867569140,977,,null
swag dance studio,"Sukrapath, biratnagar 6, विराटनगर 56613",+9779816316218,977,,null
मण्डला लाउन्ज तथा बार,"F78G+RRC, Dharan Rd, विराटनगर 56613",+97721503346,977,,null
Illusion,विराटनगर 56613,,NP,,null
Tigerchowk basbari biratnagar,"G7QM+3GH, टंकिसिनवारी 56707",+9779804397764,977,,null
Saroj Mukhiya,"F7GJ+XMX, विराटनगर 56613",,NP,,null
TRENDY POOL & SNOOKER CLUB,Biratnagar-4,+9779807302016,977,,null
फिल गुड बार एण्ड ग्रिल,"Airport Mode, विराटनगर 56613",+9779812300622,977,,null
पर्पल हेज रेस्ट्राे एण्ड गाडेन,"Airport Rd, विराटनगर 56613",+97721464193,977,https://purplehaze.chefsnepal.com,purplehaze.biratnagar@gmail.com
Hashtag Food & Bar,विराटनगर 00977,+9779804304044,977,,null
"SAMRAT-PUB I CLUB I RESTAURANT, Biratnagar","F7PF+2H3, Airport Rd, विराटनगर 56613",+9779814391808,977,https://m.facebook.com,null
Natraj dance training center,"बरगाँछी मार्ग, विराटनगर 56613",+9779842447986,977,,null
Happy Hour Heaven,विराटनगर 56613,+9779805325486,977,,null
Elite Club,"F77P+R8X, विराटनगर 56613",,NP,https://eliteclub.org.np,elitebiratnagar@gmail.com
TRENDz lounge and rooftop,"hospital chowk, विराटनगर 56613",+9779842028173,977,,null
New lotus Dance Bar,"beside buspark, new gudri, विराटनगर 56613",+9779840195458,977,,null
The Sports Hub,"Shiva Mandir, Sanihat, Gopi Nath Marg Opposite Of Birateshwor, विराटनगर",+9779815384999,977,,null
हाेटल डल्फिन गित गजल,"Bashantpur, बसन्तपुर, Bihar 56613",,NP,,null
POLU PALACE,"F72P+V3M, ब्रम्ह कुमारी पथ, विराटनगर 56613",,NP,,null
Parash Night club,"F85C+75V, कटहरी 56600",,NP,,null
Masha dance bar,"F72C+XPJ, विराटनगर 56613",,NP,,null
THE GYM IRON PARADISE,"महेन्द्र मार्ग Chowk, विराटनगर 56613",+9779819097412,977,,null
Tandav Restro and Bar,विराटनगर 56613,+9779852082300,977,,null
Rani Narendra kamlesh Room,"C7GF+5RQ, विराटनगर 56613",,NP,,null
Timur Thakali Restaurant & Bar,"Himalaya Road 14, महेन्द्र मार्ग chowk, विराटनगर 56613",+9779815318189,977,,null
Bajeko Sekuwa Biratnagar,"Pipal Chowk, विराटनगर 56613",+9779802352423,977,https://bajekosekuwa.com,info@bajekosekuwa.com
Trishna-The Craving Tales,"F7MF+XPM, विराटनगर 56613",+9779819384639,977,,null
Touch Dance Studio,"F76G+FW7, शुक्र पथ, विराटनगर 56613",+9779807005587,977,,null
होटल हैरिसन प्यालेस,"F78P+XQW, बजरंगबली मार्ग, विराटनगर 56613",+97721511034,977,https://hotelharrisonpalace.com,info@hotelharrisonpalace.com
oasis lounge and bar pvt ltd,"bhrikuti chowk 05, विराटनगर 00977",+9779851115567,977,,null
Hangout Cafe,"धर्मभक्त मार्ग, विराटनगर 56613",+9779804373032,977,,null
D-Croxx Dance(prince choreographer),"Salt trading, विराटनगर 56613",+9779816337807,977,,null
होटल मनास्लु इन,"F7GG+F93, विराटनगर 56613",,NP,,null
Nuclear Dance Gang,"Jaljala Road Opposite To Prabhu Bank, विराटनगर 56613",+9779804072080,977,https://facebook.com,null
Singhasan,"Airport Rd 04, विराटनगर 56613",+9779702631705,977,https://singhasanrestro.com,null
