Title,Address,street,city,postal_code,Phone,Country,Website,Email,mobile_number,whatsapp_number,email_contacted,phone_mobile_contacted,whatsapp_contacted,sure_shots,potentials_already_have,meeting_fixed,leads_converted,follow_up,comment
Ganapati manufacturing company pvt.ltd.,काठमाडौँ 44600,,काठमाडौँ,44600,+9779851112819,NP,null,null,null,null,false,false,false,null,,false,false,null,
ganapati manufacturing company pvt.ltd,,,,null,+9779851112819,NP,null,null,null,null,false,false,false,null,,false,false,null,
डाबर नेपाल प्रा. लि.,"मदन भण्डारी पथ, काठमाडौँ 44600",मदन भण्डारी पथ,काठमाडौँ,44600,+97714112240,NP,null,null,null,null,false,false,false,null,,false,false,null,
नेबिको बिस्कुट कम्पनी,"Nebico (Biscuit and Confectionery Company), काठमाडौँ 44600",Nebico (Biscuit and Confectionery Company),काठमाडौँ,44600,+97714350527,NP,https://nebico.com,null,null,null,false,false,false,null,,false,false,null,
Hulas Iron Industries Ltd - Head Office,"Floor No 6, Amir bhawan Ganeshthan, विनायक मार्ग, काठमाडौँ 44600","Floor No 6, Amir bhawan Ganeshthan, विनायक मार्ग",काठमाडौँ,44600,+97715970085,NP,https://hulasironindustries.com,info@hii.com,+97715970085,+9779810018511,false,false,false,null,,false,false,null,
बोटलर्स नेपाल लिमिटेड,"लेखनाथ मार्ग, काठमाडौँ 44600",लेखनाथ मार्ग,काठमाडौँ,44600,+97714350602,NP,https://bnl.com.np,null,null,null,false,false,false,null,,false,false,null,
SK Group of Manufacturing,बुढानीलकण्ठ 44600,,बुढानीलकण्ठ,44600,+9779818175925,NP,null,null,null,null,false,false,false,null,,false,false,null,
Bhumi Suppliers and Manufacturing Pvt. Ltd,"Near Malpot office, काठमाडौँ 44600",Near Malpot office,काठमाडौँ,44600,+9779813168669,NP,https://bizznews2.blogspot.com,null,null,null,false,false,false,null,,false,false,null,
Nepal liyuan food company pvt ltd,"Q86J+72P, टोखा 44600",Q86J+72P,टोखा,44600,+97714283902,NP,null,null,null,null,false,false,false,null,,false,false,null,
यूनिलीवर नेपाल लि.,"M8QJ+MXR, City Square Building, काठमाडौँ","M8QJ+MXR, City Square Building",काठमाडौँ,null,+97714785963,NP,https://unilevernepal.com,null,null,null,false,false,false,null,,false,false,null,
NDH Nepali Masala Manufacturer Company HEAD-OFFICE Kathmandu Nepal,काठमाडौँ 44602,,काठमाडौँ,44602,+9779851318017,NP,https://ndhmasala.com,info@ndhmasala.com,+9779851087422,+9779851087422,false,false,false,null,,false,false,null,
