Title,Address,street,city,postal_code,Phone,Country,Website,Email,mobile_number,whatsapp_number,email_contacted,phone_mobile_contacted,whatsapp_contacted,sure_shots,potentials_already_have,meeting_fixed,leads_converted,follow_up,comment
Eco Garment,काठमाडौँ 44600,,काठमाडौँ,44600,+9779842774955,NP,null,null,null,null,false,false,false,null,,false,false,null,
Prisha fashion industry pvt.ltd,काठमाडौँ 44600,,काठमाडौँ,44600,+9779851178792,NP,https://prishafashion.com.np,null,null,null,false,false,false,null,,false,false,null,
Umico Garment Industries Pvt. Ltd.,"ठमेल मार्ग, काठमाडौँ 44600",ठमेल मार्ग,काठमाडौँ,44600,+97714512638,NP,https://umicoindustry.com,umicoindustry@gmail.com,+9779841617964,null,false,false,false,null,,false,false,null,
क्लोथिङ्ग इन नेपाल प्रा. लि.,"Chamati 15, काठमाडौँ 21185",Chamati 15,काठमाडौँ,21185,+9779851135219,NP,https://clothinginnepal.com,clothinginnepal@gmail.com,+9779851135219,+9779851135219,false,false,false,null,,false,false,null,
Legacy Garment - Garment Factory in Nepal,"Serbeshwar Marg, काठमाडौँ 44600",Serbeshwar Marg,काठमाडौँ,44600,+9779808540632,NP,https://legacygarment.com,null,null,null,false,false,false,null,,false,false,null,
Lumbini Fashion Industry (LuFI) Pvt. Ltd.,"अद्वैत मार्ग, काठमाडौँ 44600",अद्वैत मार्ग,काठमाडौँ,44600,+9779851151111,NP,https://lumbinifashion.com.np,null,+9779851151111,+9779851151111,false,false,false,null,,false,false,null,
"Apparel And Textile Inc. ! Fleece Fabric,Lycra Fabric,Knitted Fabric,,Corporate Tshirt Manufacturer In Kathmandu, Nepal","MC-25, Phasikeba, Near Red Cross Society, Nepal, काठमाडौँ 44600","MC-25, Phasikeba, Near Red Cross Society, Nepal",काठमाडौँ,44600,+9779813287896,NP,https://apparelandtextileinc.com,antincldh@gmail.com,+911613501185,null,false,false,false,null,,false,false,null,
TRANCE TRIP GARMENT,"P886+H36, चाक्सीवारी मार्ग, काठमाडौँ 44600","P886+H36, चाक्सीवारी मार्ग",काठमाडौँ,44600,+97714418751,NP,https://trancetrip.com.np,ttgipl@trancetrip.com.np,null,null,false,false,false,null,,false,false,null,
Paal Apparel Private Limited.,"Balbhadra Marga, काठमाडौँ 44600",Balbhadra Marga,काठमाडौँ,44600,+97715908480,NP,null,null,null,null,false,false,false,null,,false,false,null,
Creative Touch Garment Industry,"Ropeway Sadak Khusibun, काठमाडौँ 44600",Ropeway Sadak Khusibun,काठमाडौँ,44600,+97714970331,NP,https://creativetouchfashion.com,null,null,null,false,false,false,null,,false,false,null,
Luga Factory (Garment- Manufacturing & Printing),मध्यपुर थिमि 44600,,मध्यपुर थिमि,44600,+9779843552013,NP,https://lugafactory.com.np,mylugafactory@gmail.com,+9779843552013,null,false,false,false,null,,false,false,null,
Garments in Kathmandu nepal,"Chandragiri Municipality, Satungal-11, काठमाडौँ 44600","Chandragiri Municipality, Satungal-11",काठमाडौँ,44600,+97714310818,NP,https://garmentsinkathmandu.com,null,null,null,false,false,false,null,,false,false,null,
Grey studio Garment industry,"Dhungadhara Jambo dadha, mega bank, काठमाडौँ 44600","Dhungadhara Jambo dadha, mega bank",काठमाडौँ,44600,+9779822770827,NP,null,null,null,null,false,false,false,null,,false,false,null,
Logo Fashion Industries,"Jhamsikhel Road, ललितपुर 44700",Jhamsikhel Road,ललितपुर,44700,+9779802072335,NP,https://logoindustriesgroup.com,null,null,null,false,false,false,null,,false,false,null,
RR GARMENT,काठमाडौँ 44600,,काठमाडौँ,44600,+9779845872809,NP,https://rrgarments.com,null,null,null,false,false,false,null,,false,false,null,
Thread Garment,"Bhandari Rd, 44600",Bhandari Rd,,44600,+9779851025760,NP,https://threadgarment.com.np,null,null,null,false,false,false,null,,false,false,null,
लोगो फेशन इंडस्ट्रीज,"M8PP+735, Shankhamul Marga, काठमाडौँ 44600","M8PP+735, Shankhamul Marga",काठमाडौँ,44600,+9779802072336,NP,null,null,null,null,false,false,false,null,,false,false,null,
Nepo Industries Pvt. Ltd.,भक्तपुर 44800,,भक्तपुर,44800,+97716613137,NP,null,null,null,null,false,false,false,null,,false,false,null,
My Nepal Factory,"Khusibu-17, काठमाडौँ 44600",Khusibu-17,काठमाडौँ,44600,+97714988080,NP,https://mynepalfactory.com,mynepalfactory@gmail.com,+97714388080,null,false,false,false,null,,false,false,null,
pure clothing (garment industry),"Samakhushi - Ranibari Rd, काठमाडौँ 44600",Samakhushi - Ranibari Rd,काठमाडौँ,44600,+9779841448941,NP,null,null,null,null,false,false,false,null,,false,false,null,
Hana Garment Pvt.Ltd,काठमाडौँ 44600,,काठमाडौँ,44600,+9779803797132,NP,https://hanagarment.com,hana1garment@gmail.com,+9779817249205,null,false,false,false,null,,false,false,null,
Caravan Garment manufacturers Private Limited,"Caravan Lane, M99C+72G Balkot, Road, 44811","Caravan Lane, M99C+72G Balkot, Road",,44811,+9779841017539,NP,https://caravan.com.np,caravanreadymade@yahoo.com,+NP88196603,null,false,false,false,null,,false,false,null,
Shiva Shakti Garments pvt ltd,"Unnamed Road, काठमाडौँ 44600",Unnamed Road,काठमाडौँ,44600,+9779851082151,NP,https://nepalgarments.com,nepalgarments2010@gmail.com,+9779851082151,+9779851082151,false,false,false,null,,false,false,null,
एभरेष्ट फेशन,"Khumaltar Height Marg, ललितपुर 44600",Khumaltar Height Marg,ललितपुर,44600,+97715525187,NP,null,null,null,null,false,false,false,null,,false,false,null,
नेपाल नितिङ इनदसत्रिज,"नित्यनाथ मार्ग, काठमाडौँ 44600",नित्यनाथ मार्ग,काठमाडौँ,44600,+97715321825,NP,https://nepalknitting.com,null,+9779851186277,null,false,false,false,null,,false,false,null,
नेपाल तयारी पोसाक संध,"Sankhamul Marg, काठमाडौँ 44600",Sankhamul Marg,काठमाडौँ,44600,+97714790691,NP,https://ganasso.org.np,ganasso2011@gmail.com,+97714790691,null,false,false,false,null,,false,false,null,
Logo Fashion Industries Pvt. Ltd.,"भक्तपुर औधोगिक क्षेत्र, भक्तपुर 44800",भक्तपुर औधोगिक क्षेत्र,भक्तपुर,44800,+97716635170,NP,https://logoindustriesgroup.com,null,null,null,false,false,false,null,,false,false,null,
garment factory,काठमाडौँ 44600,,काठमाडौँ,44600,+9779880246468,NP,null,null,null,null,false,false,false,null,,false,false,null,
रिलायन्स स्पिनिङ मिल्स लिमिटेड,"Ameer Bhawan, 4th Floor Ganeshsthan, काठमाडौँ 44600","Ameer Bhawan, 4th Floor Ganeshsthan",काठमाडौँ,44600,+97714241853,NP,https://reliancespinningnepal.com,info@reliancespinningnepal.com,+97715341853,null,false,false,false,null,,false,false,null,
Fashion Factory Nepal Sorakhutte,काठमाडौँ 44600,,काठमाडौँ,44600,+9779864831830,NP,null,null,null,null,false,false,false,null,,false,false,null,
Garment Sewa,"15 स्वयम्भु मार्ग, काठमाडौँ 44600",15 स्वयम्भु मार्ग,काठमाडौँ,44600,+9779823394469,NP,https://gaarment.com,info@gaarment.com,+9779823394469,+9779823394469,false,false,false,null,,false,false,null,
Shreejan Textile,"चक्रपथ, ललितपुर 44600",चक्रपथ,ललितपुर,44600,+9779851185097,NP,null,null,null,null,false,false,false,null,,false,false,null,
Knitex Industries,काठमाडौँ 44600,,काठमाडौँ,44600,+97715905862,NP,null,null,null,null,false,false,false,null,,false,false,null,
Old-DKB Garment Industry Pvt. Ltd.,"P876+QM3, ठबही सडक, काठमाडौँ 44600","P876+QM3, ठबही सडक",काठमाडौँ,44600,+97714424888,NP,null,null,null,null,false,false,false,null,,false,false,null,
Vishnu Textiles Processing Industries,काठमाडौँ 44600,,काठमाडौँ,44600,+97714350929,NP,null,null,null,null,false,false,false,null,,false,false,null,
Niraja Apparels,"M8RX+53C, Kumud Devkota Marga, काठमाडौँ 44600","M8RX+53C, Kumud Devkota Marga",काठमाडौँ,44600,+9779841585814,NP,https://nirajaapparels.wordpress.com,null,+NP9841585814985114843,null,false,false,false,null,,false,false,null,
Nepalaya Store - Garment Factory Kathmandu,"Milan Chowk Marga, काठमाडौँ 44600",Milan Chowk Marga,काठमाडौँ,44600,+9779861789190,NP,null,null,null,null,false,false,false,null,,false,false,null,
Student Handicrafts & Garment Industry Pvt. Ltd.,काठमाडौँ 44600,,काठमाडौँ,44600,+9779843479890,NP,https://studenthandicrafts.com,null,null,null,false,false,false,null,,false,false,null,
Vistaar Trade Pvt Ltd,"Near, काठमाडौँ 44600",Near,काठमाडौँ,44600,+9779805372400,NP,https://vistaartrade.com,salin2701@gmail.com,+9779822783677,null,false,false,false,null,,false,false,null,
ELW Nepal,"पकनाजोल मार्ग, काठमाडौँ 44600",पकनाजोल मार्ग,काठमाडौँ,44600,+9779803984457,NP,https://localwomenshandicrafts.com,null,null,null,false,false,false,null,,false,false,null,
Nepal Pashmina Industry,"रेडक्रस सडक, काठमाडौँ 44600",रेडक्रस सडक,काठमाडौँ,44600,+97715373292,NP,null,null,null,null,false,false,false,null,,false,false,null,
Natureknit Factory,काठमाडौँ 44600,,काठमाडौँ,44600,+97715210040,NP,https://natureknit.com,info@natureknit.com,+9779705888818,+9779705888818,false,false,false,null,,false,false,null,
Himalayan Cashmere Manufacturing Company,"Byathit Marg, काठमाडौँ 44600",Byathit Marg,काठमाडौँ,44600,+9779813755888,NP,https://himalayancashmere.com,info@himalayancashmere.com,+977209813755888,+9779813755888,false,false,false,null,,false,false,null,
S.K. Handicrafts Export .FAIR TRADE Cashmere Company,"Amrit Marg 44600, 44600",Amrit Marg 44600,,44600,+97715355372,NP,https://skhandicraftnepal.com,skhandicrafts2006@gmail.com,null,null,false,false,false,null,,false,false,null,
Ajmera Fashion Nepal,काठमाडौँ 44600,,काठमाडौँ,44600,+9779820815815,NP,https://ajmerafashion.com,null,+918849429440,null,false,false,false,null,,false,false,null,
FiBRO,"29 Dillibazar Road, काठमाडौँ 44600",29 Dillibazar Road,काठमाडौँ,44600,+9779848769889,NP,null,null,null,null,false,false,false,null,,false,false,null,
फैशन रचना नेपाल,"P876+872, चाक्सीवारी मार्ग, काठमाडौँ 44600","P876+872, चाक्सीवारी मार्ग",काठमाडौँ,44600,+97714244074,NP,null,null,null,null,false,false,false,null,,false,false,null,
Nepalese Clothing,"सात घुम्ती मार्ग, Chwok 44600",सात घुम्ती मार्ग,Chwok,44600,+97714701577,NP,null,null,null,null,false,false,false,null,,false,false,null,
Kurti Plus - Kurti Wholesaler in Kathmandu,"Shop No. 086, Phasikyeb, अद्वैत मार्ग, काठमाडौँ 44600","Shop No. 086, Phasikyeb, अद्वैत मार्ग",काठमाडौँ,44600,+9779802074712,NP,null,null,null,null,false,false,false,null,,false,false,null,
कटन मिल नेपाल,"Rudra Mati Marg, काठमाडौँ 44600",Rudra Mati Marg,काठमाडौँ,44600,+9779801022908,NP,null,null,null,null,false,false,false,null,,false,false,null,
The Factory Outlet (TFO),"Sinamangal Rd, काठमाडौँ 44600",Sinamangal Rd,काठमाडौँ,44600,+9779823555180,NP,null,null,null,null,false,false,false,null,,false,false,null,
Shangrila knit,"SHANGRILA KNIT, कर्मचारी सञ्चय कोष भवन, त्रिदेवी सडक, काठमाडौँ 44600","SHANGRILA KNIT, कर्मचारी सञ्चय कोष भवन, त्रिदेवी सडक",काठमाडौँ,44600,+9779860584328,NP,https://shangrilaknittingandweaving.com,info@shangrilaknit.com.np,+97715925224,null,false,false,false,null,,false,false,null,
नेपाली परिधान उत्पादन,"P866+R4V, JP Rd, काठमाडौँ 44600","P866+R4V, JP Rd",काठमाडौँ,44600,+9779851066072,NP,null,null,null,null,false,false,false,null,,false,false,null,
VIRJEANS (Clothing Brand Store),"Chinka Aata, काठमाडौँ 44600",Chinka Aata,काठमाडौँ,44600,+97715713732,NP,https://virjeans.com.np,null,null,null,false,false,false,null,,false,false,null,
नेपाल टी शर्ट छापा,"Chandra Vinayak Marg, काठमाडौँ 44600",Chandra Vinayak Marg,काठमाडौँ,44600,+9779851057356,NP,https://promotionalgiftnepal.com,null,null,null,false,false,false,null,,false,false,null,
काठमाडौं वस्त्र,"House Number 193, Ganesh Basti, चक्रपथ, काठमाडौँ 44600","House Number 193, Ganesh Basti, चक्रपथ",काठमाडौँ,44600,+97714720487,NP,https://kathmanduclothing.com,info@kathmanduclothing.com,null,null,false,false,false,null,,false,false,null,
नेपाल ऊल हाउस,"चित्तधर मार्ग, काठमाडौँ 44600",चित्तधर मार्ग,काठमाडौँ,44600,+97715324745,NP,null,null,null,null,false,false,false,null,,false,false,null,
KTM CTY - Durbar Marg,"दरवार मार्ग, काठमाडौँ 44600",दरवार मार्ग,काठमाडौँ,44600,+97714232592,NP,https://ktmcty.com,null,null,null,false,false,false,null,,false,false,null,
JAPHOO,"P876+739, JP Rd, काठमाडौँ 44600","P876+739, JP Rd",काठमाडौँ,44600,+97715916675,NP,null,null,null,null,false,false,false,null,,false,false,null,
Evan - Best Men's Clothing Store in Kathmandu,"P869+649, Durbar Marg, काठमाडौँ 44600","P869+649, Durbar Marg",काठमाडौँ,44600,+9779851358803,NP,https://evanmens.com,evanmenzwear@gmail.com,+9779851358803,null,false,false,false,null,,false,false,null,
Pandey Fashion Industry,"Jana Marg2, काठमाडौँ 44600",Jana Marg2,काठमाडौँ,44600,+9779849603631,NP,null,null,null,null,false,false,false,null,,false,false,null,
शहर जीन्स,"P836+G4Q, काठमाडौँ 44600",P836+G4Q,काठमाडौँ,44600,+97714223667,NP,null,null,null,null,false,false,false,null,,false,false,null,
Snowcap Fashion Crafts Pvt. Ltd. - Wholesale Handicrafts & Garments,"Paiyatar Tarakeshwor-6, 44600",Paiyatar Tarakeshwor-6,,44600,+9779849469526,NP,https://snowcap-nepal.com,info@snowcap-nepal.com,+9779849469526,null,false,false,false,null,,false,false,null,
PASSION FASHION,"मख: गल्ली, काठमाडौँ 44600",मख: गल्ली,काठमाडौँ,44600,+97715349295,NP,null,null,null,null,false,false,false,null,,false,false,null,
Wholesale clothing supplier all over Nepal,"223 Gopha Marg, काठमाडौँ 44600",223 Gopha Marg,काठमाडौँ,44600,+9779818810403,NP,null,null,null,null,false,false,false,null,,false,false,null,
Anona Organic Clothing,"P876+MW8, छुस्या गल्ली, काठमाडौँ 44600","P876+MW8, छुस्या गल्ली",काठमाडौँ,44600,+9779861232033,NP,https://anonaclothing.com.np,services@anonaclothing.com.np,+NP7014518751,null,false,false,false,null,,false,false,null,
Shree Fashion Kurti - Kurti Wholesale in Kathmandu,"Phasaikeb, Ranjana Galli, काठमाडौँ 44600","Phasaikeb, Ranjana Galli",काठमाडौँ,44600,+9779818971624,NP,null,null,null,null,false,false,false,null,,false,false,null,
Nepali Fashion factory,Kathmandu 44600,,Kathmandu,44600,+9779848555823,NP,https://bhansax.com,null,null,null,false,false,false,null,,false,false,null,
Kalika Trade Link,"पर्यटन मार्ग, काठमाडौँ 44600",पर्यटन मार्ग,काठमाडौँ,44600,+9779841223043,NP,https://kalikatradelink.com.np,mail@alltimefashion.us,+97714027514,null,false,false,false,null,,false,false,null,
Kashyapi Nepal,ललितपुर 44700,,ललितपुर,44700,+9779801254612,NP,https://kashyapi.store,null,null,null,false,false,false,null,,false,false,null,
Empire Collection,"हात्तीसार सडक, काठमाडौँ 44600",हात्तीसार सडक,काठमाडौँ,44600,+97714546466,NP,https://empirecollection.com.np,null,null,null,false,false,false,null,,false,false,null,
