Title,Address,Phone,Country,Website,Email,mobile_number,whatsapp_number
Nirjara Beauty Salon : Best Beauty Parlour in Kathmandu,"Chunne Bhairab Marg, Kathmandu 44600",+9779851097472,NP,https://facebook.com,null,,
Ananeke Beauty Salon & Spa,"Krishna Sadan, 2nd Floor Shree, Chakku Bakku Galli, Kathmandu 44600",+97714794675,NP,https://ananekesalon.com,manager.ananeke@gmail.com,+97714794675,
Black Diamond Salon,"Sunrise Chowk Thapagaun, 44600",+9779811981291,NP,https://blackdiamondsalon.com,info@blackdiamondsalon.com,+9779707504263,
Spalon Health & Beauty Pvt. Ltd,"Dilliraman Marg, Kathmandu 44600",+97714513913,NP,https://spalonhealthbeauty.com.np,info@spalonhealthbeauty.com.np,+97714413913,
Bliss by Sakil Kunwar Durbar Marg,"Above MODENA & SEIKO shop, 2 Darbar Marg, Kathmandu 1",+97715339065,NP,,null,,
Plush Salon and Makeup Academy,"Tindhara, Kathmandu 44600",+9779808428150,NP,,null,,
Lavish Salon,"Narayanhiti Path, Kathmandu 44600",+97714542030,NP,,null,,
BLISS by Sakil Kunwar Chhaya Center,"3rd Floor Shop N0, Chhaya Center, 26 Bagawan Bahal Marg, Kathmandu 44600",+97715252016,NP,,null,,
Hair n Shanti Unisex salon,"Chhaya center, Kathmandu 44600",+97715252052,NP,https://hairnshantinepal.com,hairnshantiktm@gmail.com,+97715252052,
Glow To Glow - Best Beauty Academy in Kathmandu Nepal,"New Baneshwor, Kathmandu 44600",+9779851116142,NP,https://glowtoglow.com,null,,
Shahinoor Unisex Salon,Kathmandu 46000,+9779842748877,NP,https://shahinoorunisexsalon.com,null,+9779842748877,+9779842748877
Beauty & Co.,Kathmandu 44600,+9779818459500,NP,https://instagram.com,null,,
Akala Hair and beauty salon,"Samakhusi Marg, Kathmandu 44600",+9779860917399,NP,,null,,
Tilu Hair & Beauty Salon,"Sarkari Dhara, Mhepi Marg, Kathmandu 44600",+9779803224742,NP,https://bit.ly,null,,
G-Hair Box,"Ac Complex, 3rd Floor,AC complex, चाबहिल मार्ग, Kathmandu 44602",+97714561383,NP,,null,,
Bevel Unisex Salon - Best Salon In Kathmandu,Kathmandu 44600,+97715922281,NP,,null,,
Ananeke Beauty Salon,"Durbar Marg, Kathmandu 44600",+97714794675,NP,,null,,
"Beauty Shine Makeup Studio with Spa Gurjudhara, Kathmandu","Gurjudhara, Chandragiri, Kathmandu 44600",,NP,https://facebook.com,null,,
Hair n Shanti,"Teendhara Marg, Kathmandu 44600",+9779823320055,NP,https://hairnshantinepal.com,hairnshantiktm@gmail.com,+97715252052,
Asylum Hair Salon,"A-One Business Complex, Thamel Marg, Kathmandu 44600",+97714531450,NP,https://asylumhairsalon.com,null,,
Volume Salon & Academy KTM,"Bhagwati Temple, Sanogaucharan near, Kathmandu 44600",+9779826453321,NP,https://volumesalons.com.np,null,,
Yang beauty care,"Galkopakha Marg, Kathmandu 44600",+9779849209569,NP,,null,,
Mangpahang Unisex Salon (Mid-Baneswor),"Devkota Sadak, Kathmandu 44600",+9779708073356,NP,,null,,
Glow Beauty Studio,"Shop No. 301, Kathmandu Mall, Sundhara Marg, Kathmandu 44600, Nepal, 3rd Floor, C",+97715908425,NP,,null,,
Krish Hair and Beauty Salon,"44600 Kathmandu, Putali Sadak, Star Mall Ground Floor",+9779860293120,NP,,null,,
Posh Beauty Studio,Kathmandu 44600,+9779851023825,NP,,null,,
Elite Hair Artist Salon and Academy,Kathmandu 44600,+9779848067588,NP,,null,,
FEELING'S BEAUTY & TRAINING CENTRE,Kathmandu 44600,+9779843477274,NP,,null,,
Femina FLAUNT Studio Salon - Kathmandu,"Femina Flaunt Studio Salon, Nagpokhari Marg, Kathmandu 44600",+9779702640260,NP,https://feminaflaunt.com,feminaflauntsalon@gmail.com,+91207998360000,
7 Thirteen Unisex Hair Salon,Kathmandu 44600,+97715911552,NP,https://facebook.com,null,,
Shantaz Salon and International Academy,"Pipalbot, Pako Sadak, Kathmandu 44600",+97714917717,NP,,null,,
Shahinoor Unisex Salon Samakoshi,"Rehdon pool, Kathmandu 46000",+9779842748877,NP,,null,,
Veda Hair Salon,"Charkhal Rd, Kathmandu 44600",+97714521231,NP,,null,,
NOVA Beauty Salon & Academy,"13 Bafal Marg, Kathmandu 44600",+9779702131333,NP,,null,,
De'Lavish Beauty Centre,Kirtipur 44600,+9779808561602,NP,https://m.facebook.com,null,,
The Tiara Unisex Salon,"M7XJ+CF8, Ring Rd, Kathmandu 44600",+9779843222202,NP,,null,,
Beauty Parlor,"P873+4JC, Swayambhu Marg, Kathmandu 44600",+9779703580657,NP,,null,,
The Beauty Bar,"Sama Marga, Kathmandu 44600",+97714522551,NP,,null,,
Treasure Unisex Salon And Academy,Kathmandu 44600,+9779745699898,NP,,null,,
Habibs Hair & Beauty Salon,"2nd Floor Kasthamandap Bazaar, Teendhara Marg, Kathmandu 44605",+97714169061,NP,https://habibssalon.com,null,,
Hair n Shanti,"Eye Plex Mall, 1st Floor, Kathmandu 44600",+97714574661,NP,https://hairnshantinepal.com,hairnshantiktm@gmail.com,+97715252052,
