Email,Phone,First Name,Last Name,Country,Zip
manager.ananeke@gmail.com,+97714794675,Ananeke,Beauty Salon & Spa,NP,44600
info@blackdiamondsalon.com,+9779707504263,Black,Diamond Salon,NP,44600
info@spalonhealthbeauty.com.np,+97714413913,Spalon,Health & Beauty Pvt. Ltd,NP,44600
hairnshantiktm@gmail.com,+97715252052,Hair,n Shanti Unisex salon,NP,44600
hairnshantiktm@gmail.com,+97715252052,Hair,n Shanti,NP,44600
feminaflauntsalon@gmail.com,+91207998360000,Femina,FLAUNT Studio Salon - Kathmandu,NP,44600
hairnshantiktm@gmail.com,+97715252052,Hair,n Shanti,NP,44600
mail@dollyscreation.com,+97714445082,Dolly's,Unisex Beauty Salon,NP,44600
reflect@reflectionunisex.com,+NP6600236234231005190,Reflection,Unisex,NP,44600
jjbeautyhub@gmail.com,+9779860134633,J,and J Beauty Academy,NP,44600
hairnshantiktm@gmail.com,+97715252052,Hair,& Shanti Unisex Salon Samakhusi,NP,44600
info@radiantunisexsalon.com,+9779866103257,Radiant,Unisex Salon & Training Center,NP,44600
hairmeetwardrobe@unileverconsumerlink.co.uk,+9779851088880,Toni,& Guy Nepal - Hair Salon,NP,44600
lashes@gmail.com,+97714001504,Lashes,Makeup Studio,NP,44600
hairnshantiktm@gmail.com,+97715252052,Hair,n Shanti Unisex salon & Academy,NP,44700
manager.ananeke@gmail.com,+97714794675,Ananeke,Beauty Salon & Spa,NP,44600
laxmeehairstudio@gmail.com,+97715100736,Laxmee,Hair and Beauty Studio,NP,44600
haircitysalonservicetrainingce@gmail.com,+9779841920495,Hair,City Salon Service & Training Center,NP,44600
bprettysalon@gmail.com,+9779801153499,bpretty,Beauty Salon,NP,44600
info@blueskybeautyacademy.com,+97715912593,Bluesky,Beauty Salon & Academy,NP,
contact@supercutsnepal.com,+9779849132327,Supercuts,Beauty Salon and Training Center,NP,44600
looksunisexsalonnepal@gmail.com,+9779802323533,Looks,Salon Nepal,NP,44600
partner@flowcode.com,+19176133357,Stella,The Makeup Studio,NP,44600
lucentskinclinic@gmail.com,+9779841430146,Lucent,Skin and Hair Clinic -Best skin clinic in Bhaktapur,NP,44800
hello@artfulbaker.blog,+9779824669966,New,Priya Gents Parlour (Unisex),NP,44600
manager.ananeke@gmail.com,+97714794675,Ananeke,Beauty Salon & Spa,NP,44600
hairnshantiktm@gmail.com,+97715252052,Hair,n Shanti Unisex Salon,NP,44600
facialhousenepal@gmail.com,+9779841135172,फेसियल,हाउस,NP,44600
info@itcbeautytrainingschool.com,+9779762875225,Charkhal,Dillibazar,NP,44600
contact@supercutsnepal.com,+9779849132327,Supercuts,Beauty Salon & Training Center,NP,44600
customercare@murarkey.com,+9779866426111,Parlor,Sewa by Murarkey,NP,44600
info@tranquilityspa.com.np,+9779802365118,Tranquility,Spa,NP,44700
info@zoombeautyacademy.com,+9779851166850,Zoom,Beauty Academy - Best Beauty Academy in Nepal,NP,44600
hairnshantiktm@gmail.com,+97715252052,Hair,n Shanti,NP,44600
info@spalonhealthbeauty.com.np,+97714413913,Spalon,Health & Beauty Pvt. Ltd,NP,44600
hairnshantiktm@gmail.com,+97715252052,Hair,n Shanti Unisex salon,NP,44600
feminaflauntsalon@gmail.com,+91207998360000,Femina,FLAUNT Studio Salon - Kathmandu,NP,44600
info@radiantunisexsalon.com,+9779866103257,Radiant,Unisex Salon & Training Center,NP,44600
mail@dollyscreation.com,+97714445082,Dolly's,Unisex Beauty Salon,NP,44600
jjbeautyhub@gmail.com,+9779860134633,J,and J Beauty Academy,NP,44600
reflect@reflectionunisex.com,+NP6600236234231005190,Reflection,Unisex,NP,44600
annapurnasalon890@gmail.com,+9779841243778,अन्नपूर्ण,सैलून,NP,44600
info@tranquilityspa.com.np,+9779802365118,Tranquility,Spa - Hotel Shankar,NP,44600
lashes@gmail.com,+97714001504,Lashes,Makeup Studio,NP,44600
info@tranquilityspa.com.np,+9779802365118,Tranquility,Spa-Thamel,NP,44600
