Email,Phone,First Name,Last Name,Country,Zip
,+97715339065,Bliss,by Sakil Kunwar Durbar Marg,NP,
,+9779808428150,Plush,Salon and Makeup Academy,NP,44600
,+97714542030,Lavish,Salon,NP,44600
,+97715252016,BLISS,by Sakil Kunwar Chhaya Center,NP,44600
,+9779860917399,Akala,Hair and beauty salon,NP,44600
,+97714561383,G-Hair,Box,NP,44602
,+97715922281,Bevel,Unisex Salon - Best Salon In Kathmandu,NP,44600
,+97714794675,Ananeke,Beauty Salon,NP,44600
,+9779849209569,Yang,beauty care,NP,44600
,+9779708073356,Mangpahang,Unisex Salon (Mid-Baneswor),NP,44600
,+97715908425,Glow,Beauty Studio,NP,44600
,+9779860293120,Krish,Hair and Beauty Salon,NP,44600
,+9779851023825,Posh,Beauty Studio,NP,44600
,+9779848067588,Elite,Hair Artist Salon and Academy,NP,44600
,+9779843477274,FEELING'S,BEAUTY & TRAINING CENTRE,NP,44600
,+97714917717,Shantaz,Salon and International Academy,NP,44600
,+9779842748877,Shahinoor,Unisex Salon Samakoshi,NP,46000
,+97714521231,Veda,Hair Salon,NP,44600
,+9779702131333,NOVA,Beauty Salon & Academy,NP,44600
,+9779843222202,The,Tiara Unisex Salon,NP,44600
,+9779703580657,Beauty,Parlor,NP,44600
,+97714522551,The,Beauty Bar,NP,44600
,+9779745699898,Treasure,Unisex Salon And Academy,NP,44600
,+97714582806,Ananeke,Beauty Salon,NP,44600
,+9779705177159,Jawed,Habib - Thamel,NP,44600
,+9779808891676,J&J,Unisex Salon,NP,44600
,+9779857075295,Monika,Unisex Salon & Academy,NP,44600
,+9779823855661,Peaches,Wax Studio,NP,44600
,+9779851353700,Reflections,Beauty Salon,NP,44600
,+9779810020638,o2,Nails & Beauty Studio,NP,44600
,+9779851400005,M,Style Salon and Beauty Hub,NP,44600
,+97715902338,Style,Lounge Unisex Salon - Best Salon In Kathmandu Valley,NP,44700
,+97715366095,K,& S Beauty Centre,NP,44600
,+9779841819129,Rising,Beauty Salon & Training Center Tahachal,NP,44600
,+9779810099369,LIMBUZ,Unisex Salon,NP,44600
,+9779704528148,Veda,Salon Lazimpat,NP,44600
,+9779801021263,Sparadise,Spa,NP,44600
,+9779851012061,neeldavid,,NP,44600
,+97715347161,Sodasi,Salon & Spa Pvt. Ltd,NP,44600
,+97715426218,New,Creation Salon & Art Studio,NP,44600
,+9779851321376,Jasmine,Unisex Salon & Academy,NP,44600
,+9779841443039,Lavender,Beauty Home,NP,44600
,+9779841374973,Lux,Cure Beauty Salon & Spa,NP,44600
,+9779706964567,Beauty,home by Zulekha,NP,44600
,+9779763499950,Kathmandu,hair and beauty studio,NP,44800
,+9779704770765,Hair,n Shanti Maharajgunj,NP,44600
,+9779826330696,The,Salon,NP,44600
,+9779807917517,The,Next Level Saloon,NP,44600
,+97714169004,Bipin,Hair Studio and Beauty Academy,NP,44600
,+9779801065880,Rhubarb,Salon of Hair Beauty Makeup & Academy,NP,44600
,+9779826450239,RR,The hair and beauty salon,NP,44600
,+9779805044215,Creamy,Unisex Beauty Salon,NP,44600
,+9779843238970,Meena’s,Nails & Beauty Studio,NP,44600
,+9779847533414,Feel,unisex beauty salon & training center,NP,44600
,+9779819100225,Refined,Beauty Hub & Makeup Studio,NP,44600
,+9779843503388,Rakhi,Maa Beauty Academy & Makeup Studio,NP,44600
,+9779706044652,Robins,Den Boutique Salon,NP,44600
,+9779851096622,Laxmi,Beauty Studio & Unisex Salon,NP,44600
,+9779851206692,Diamond,Beauty Hub,NP,44600
,+9779808099219,Glamour,Beauty Salon & Makeup Studio,NP,44600
,+9779841843997,Lushlooks,Beauty Salon,NP,44600
,+97714526142,GlowToGlow,The Beauty Studio - Best Bridal Makeup in Kathmandu Nepal,NP,44600
,+9779807917517,द,नेक्स्ट लेभल सलुन,NP,44600
,+9779801065880,Rhubarb,Salon of Hair Beauty Makeup & Academy,NP,44600
,+9779818068238,Trendy,Clippers The Beauty Salon & Training Center,NP,44600
,+97715902338,Style,Lounge Unisex Salon - Best Salon In Kathmandu Valley,NP,44700
,+9779813475676,La,Bella Beauty Salon,NP,44600
,+97715426218,नयाँ,सृष्टि सैलून र कला स्टुडियो,NP,44600
,+9779843503388,Rakhi,Maa Beauty Academy & Makeup Studio,NP,44600
,+9779819100225,Refined,Beauty Hub & Makeup Studio,NP,44600
,+9779863033482,Bellisima,"Beauty Parlour & Training Centre - The Best Beauty Parlour in Harihar Bhawan, Pulchowk",NP,44600
,+9779813914266,Envy,Beauty Bar,NP,
,+9779861591342,N.S,Parlour and Training Center,NP,44700
,+97715436614,Studio,Lavish Unisex Salon,NP,44600
,+9779841002901,Sp,glow up make up studio and beauty parlour,NP,
,+9779818994567,JLON,The Beauty Bar,NP,44600
,+97715431410,Bliss,by Sakil Kunwar - Labim Mall,NP,209
,+9779851164874,Aajal,beauty parlour & Training Center & Nail Artist,NP,44600
,+9779819747146,THE,REFORM SALON & MAKEUP STUDIO,NP,44700
,+9779765148958,Damon,Len unisex salon and Academy,NP,44600
,+9779808153972,Veda,Salon,NP,44600
,+97715428848,Kara,Hair Salon,NP,44700
,+9779704520287,Get,Gorgeous Beauty Bar & Training Center,NP,44700
,+9779807052038,Mechham,The Unisex Salon,NP,44700
,+9779818402280,Berry,Beautik Professional Salon,NP,44700
,+9779813585997,Bliss,Beauty Unisex Salon,NP,44600
,+9779808123530,Yangkee,Beauty Salon,NP,44600
,+9779808012191,Cut,and Colour Beauty Salon,NP,44600
,+9779841358879,Bliss,Beauty Salon & Inspiration Centre,NP,44700
