firstname,lastname,email,phone1,phone2,phone3,address1,city,zipcode,country,website,company,tags
Ananeke,Beauty Salon & Spa,manager.ananeke@gmail.com,+97714794675,+97714794675,,"Krishna Sadan, 2nd Floor Shree, Chakku Bakku Galli, Kathmandu",,44600,NP,https://ananekesalon.com,Ananeke Beauty Salon & Spa,both_email_phone
Black,Diamond Salon,info@blackdiamondsalon.com,+9779811981291,+9779707504263,,Sunrise Chowk Thapagaun,,44600,NP,https://blackdiamondsalon.com,Black Diamond Salon,both_email_phone
Spalon,Health & Beauty Pvt. Ltd,info@spalonhealthbeauty.com.np,+97714513913,+97714413913,,"Dilliraman Marg, Kathmandu",,44600,NP,https://spalonhealthbeauty.com.np,Spalon Health & Beauty Pvt. Ltd,both_email_phone
Hair,n Shanti Unisex salon,hairnshantiktm@gmail.com,+97715252052,+97715252052,,"Chhaya center, Kathmandu",,44600,NP,https://hairnshantinepal.com,Hair n Shanti Unisex salon,both_email_phone
Hair,n Shanti,hairnshantiktm@gmail.com,+9779823320055,+97715252052,,"Teendhara Marg, Kathmandu",,44600,NP,https://hairnshantinepal.com,Hair n Shanti,both_email_phone
Femina,FLAUNT Studio Salon - Kathmandu,feminaflauntsalon@gmail.com,+9779702640260,+91207998360000,,"Femina Flaunt Studio Salon, Nagpokhari Marg, Kathmandu",,44600,NP,https://feminaflaunt.com,Femina FLAUNT Studio Salon - Kathmandu,both_email_phone
Hair,n Shanti,hairnshantiktm@gmail.com,+97714574661,+97715252052,,"Eye Plex Mall, 1st Floor, Kathmandu",,44600,NP,https://hairnshantinepal.com,Hair n Shanti,both_email_phone
Dolly's,Unisex Beauty Salon,mail@dollyscreation.com,+9779801024106,+9779801024106,+97714445082,"बैंक ओफ काठमाडौँ को नजिकै, तीनधारा मार्ग, Kathmandu",,44600,NP,https://dollyscreation.com,Dolly's Unisex Beauty Salon,both_email_phone
J,and J Beauty Academy,jjbeautyhub@gmail.com,+9779860134633,+9779860103416,+9779860134633,"Natyashwori Marg, Kathmandu",,44600,NP,https://jjbeautyhub.com,J and J Beauty Academy,both_email_phone
Hair,& Shanti Unisex Salon Samakhusi,hairnshantiktm@gmail.com,+9779704541146,+97715252052,,"2nd floor, city square mall, Kathmandu",,44600,NP,https://hairnshantinepal.com,Hair & Shanti Unisex Salon Samakhusi,both_email_phone
Radiant,Unisex Salon & Training Center,info@radiantunisexsalon.com,+9779851410393,+97715911829,+9779866103257,Kathmandu,,44600,NP,https://radiantunisexsalon.com,Radiant Unisex Salon & Training Center,both_email_phone
Toni,& Guy Nepal - Hair Salon,hairmeetwardrobe@unileverconsumerlink.co.uk,+9779851088880,,,"1 Durbar Mall, 3rd Floor Durbar Marg, Kathmandu",,44600,NP,https://toniandguy.com,Toni & Guy Nepal - Hair Salon,both_email_phone
Lashes,Makeup Studio,lashes@gmail.com,+97714001504,+97714001504,,"3rd Floor, GR Complex, Kathmandu",,44600,NP,https://lashesmakeupstudio.com,Lashes Makeup Studio,both_email_phone
Hair,n Shanti Unisex salon & Academy,hairnshantiktm@gmail.com,+97715455960,+97715252052,,"Near world Link Office, 2nd Floor, Miniso Building,Jawalakhel Chowk, लगनखेल सातदोबाटो मार्ग, ललितपुर",,44700,NP,https://hairnshantinepal.com,Hair n Shanti Unisex salon & Academy,both_email_phone
Ananeke,Beauty Salon & Spa,manager.ananeke@gmail.com,+97715453948,+97714794675,,"Labim Mall, 2nd Floor",,44600,NP,https://ananekesalon.com,Ananeke Beauty Salon & Spa,both_email_phone
Laxmee,Hair and Beauty Studio,laxmeehairstudio@gmail.com,+97715420907,+97715100736,,ललितपुर,,44600,NP,https://laxmee.com.np,Laxmee Hair and Beauty Studio,both_email_phone
Hair,City Salon Service & Training Center,haircitysalonservicetrainingce@gmail.com,+9779841920495,+9779841920495,,"35 Om Sai Marg, Kathmandu , lalitpur 44700",,44600,NP,https://haircitysalonacademy.com,Hair City Salon Service & Training Center,both_email_phone
bpretty,Beauty Salon,bprettysalon@gmail.com,+9779801153499,+9779801153499,,ललितपुर,,44600,NP,https://bprettysalon.com,bpretty Beauty Salon,both_email_phone
Bluesky,Beauty Salon & Academy,info@blueskybeautyacademy.com,+9779761649111,+97715912593,,Damkal Chakrapath Marg Dhobighat,,,NP,https://blueskybeautyacademy.com,Bluesky Beauty Salon & Academy,both_email_phone
Supercuts,Beauty Salon and Training Center,contact@supercutsnepal.com,+9779849132327,+9779849132327,,"M8C9+J6F, ललितपुर",,44600,NP,https://supercutsnepal.com,Supercuts Beauty Salon and Training Center,both_email_phone
Looks,Salon Nepal,looksunisexsalonnepal@gmail.com,+9779802323533,+9779802323533,,"Complex, 2nd Floor, 88 Kumaripati - Mahalaximisthan Rd, ललितपुर",,44600,NP,https://looksunisexsalon.com,Looks Salon Nepal,both_email_phone
Stella,The Makeup Studio,partner@flowcode.com,+9779840265531,+19176133357,,ललितपुर,,44600,NP,https://flow.page,Stella The Makeup Studio,both_email_phone
Lucent,Skin and Hair Clinic -Best skin clinic in Bhaktapur,lucentskinclinic@gmail.com,+9779841430146,+9779841430146,,Bhaktapur,,44800,NP,https://lucentskinclinic.com,Lucent Skin and Hair Clinic -Best skin clinic in Bhaktapur,both_email_phone
New,Priya Gents Parlour (Unisex),hello@artfulbaker.blog,+9779824669966,,,"Loktantra Chowk, कीर्तिपुर",,44600,NP,https://wordpress.com,New Priya Gents Parlour (Unisex),both_email_phone
Ananeke,Beauty Salon & Spa,manager.ananeke@gmail.com,+97714794675,+97714794675,,"Krishna Sadan, 2nd Floor Shree, Chakku Bakku Galli, काठमाडौँ",,44600,NP,https://ananekesalon.com,Ananeke Beauty Salon & Spa,both_email_phone
Hair,n Shanti Unisex Salon,hairnshantiktm@gmail.com,+97714544756,+97715252052,,"Naxal, Bhatbhateni 2nd Floor, above KFC",,44600,NP,https://hairnshantinepal.com,Hair n Shanti Unisex Salon,both_email_phone
फेसियल,हाउस,facialhousenepal@gmail.com,+9779841135172,+9779841135172,,"shop no 403, काठमाण्डौ मल, 4th floor, काठमाडौँ",,44600,NP,https://facialhouse.com.np,फेसियल हाउस,both_email_phone
Charkhal,Dillibazar,info@itcbeautytrainingschool.com,+97714413958,+9779762875225,,"मालपाेत अगाडी, चारखाल डिल्लीवजार, काठमाडौँ",,44600,NP,https://itcbeautytrainingschool.com,Charkhal Dillibazar,both_email_phone
Supercuts,Beauty Salon & Training Center,contact@supercutsnepal.com,+9779808235438,+9779849132327,,"Civil Mall, 5th Floor, काठमाडौँ",,44600,NP,https://supercutsnepal.com,Supercuts Beauty Salon & Training Center,both_email_phone
Parlor,Sewa by Murarkey,customercare@murarkey.com,+9779866426111,+9779866426111,,ललितपुर,,44600,NP,https://murarkey.com,Parlor Sewa by Murarkey,both_email_phone
Tranquility,Spa,info@tranquilityspa.com.np,+9779802021269,+9779802365118,,"Near Greenwich Hotel, Maitri Marg, ललितपुर",,44700,NP,https://tranquilityspa.com.np,Tranquility Spa,both_email_phone
Zoom,Beauty Academy - Best Beauty Academy in Nepal,info@zoombeautyacademy.com,+9779802351564,+9779851166850,,"P84G+P57 Shri Raj Bhawan, Shree Raj Bhawan, Tinkune Madan Bhandari Road, काठमाडौँ",,44600,NP,https://zoombeautyacademy.com,Zoom Beauty Academy - Best Beauty Academy in Nepal,both_email_phone
Hair,n Shanti,hairnshantiktm@gmail.com,+97714574661,+97715252052,,"Eye Plex Mall, 1st Floor, काठमाडौँ",,44600,NP,https://hairnshantinepal.com,Hair n Shanti,both_email_phone
Spalon,Health & Beauty Pvt. Ltd,info@spalonhealthbeauty.com.np,+97714513913,+97714413913,,"Dilliraman Marg, काठमाडौँ",,44600,NP,https://spalonhealthbeauty.com.np,Spalon Health & Beauty Pvt. Ltd,both_email_phone
Hair,n Shanti Unisex salon,hairnshantiktm@gmail.com,+97715252052,+97715252052,,"Chhaya center, काठमाडौँ",,44600,NP,https://hairnshantinepal.com,Hair n Shanti Unisex salon,both_email_phone
Femina,FLAUNT Studio Salon - Kathmandu,feminaflauntsalon@gmail.com,+9779702640260,+91207998360000,,"Femina Flaunt Studio Salon, Nagpokhari Marg, काठमाडौँ",,44600,NP,https://feminaflaunt.com,Femina FLAUNT Studio Salon - Kathmandu,both_email_phone
Radiant,Unisex Salon & Training Center,info@radiantunisexsalon.com,+9779851410393,+97715911829,+9779866103257,काठमाडौँ,,44600,NP,https://radiantunisexsalon.com,Radiant Unisex Salon & Training Center,both_email_phone
Dolly's,Unisex Beauty Salon,mail@dollyscreation.com,+9779801024106,+9779801024106,+97714445082,"बैंक ओफ काठमाडौँ को नजिकै, तीनधारा मार्ग, काठमाडौँ",,44600,NP,https://dollyscreation.com,Dolly's Unisex Beauty Salon,both_email_phone
