firstname,lastname,email,phone1,phone2,phone3,address1,city,zipcode,country,website,company,tags
Bliss,by Sakil Kunwar Durbar Marg,,+97715339065,,,"Above MODENA & SEIKO shop, 2 Darbar Marg, Kathmandu 1",,,NP,,Bliss by Sakil Kunwar Durbar Marg,no_website
Plush,Salon and Makeup Academy,,+9779808428150,,,"Tindhara, Kathmandu",,44600,NP,,Plush Salon and Makeup Academy,no_website
Lavish,Salon,,+97714542030,,,"Narayanhiti Path, Kathmandu",,44600,NP,,Lavish Salon,no_website
BLISS,by Sakil Kunwar Chhaya Center,,+97715252016,,,"3rd Floor Shop N0, Chhaya Center, 26 Bagawan Bahal Marg, Kathmandu",,44600,NP,,BLISS by Sakil Kunwar Chhaya Center,no_website
Akala,Hair and beauty salon,,+9779860917399,,,"Samakhusi Marg, Kathmandu",,44600,NP,,Akala Hair and beauty salon,no_website
G-Hair,Box,,+97714561383,,,"Ac Complex, 3rd Floor,AC complex, चाबहिल मार्ग, Kathmandu",,44602,NP,,G-Hair Box,no_website
Bevel,Unisex Salon - Best Salon In Kathmandu,,+97715922281,,,Kathmandu,,44600,NP,,Bevel Unisex Salon - Best Salon In Kathmandu,no_website
Ananeke,Beauty Salon,,+97714794675,,,"Durbar Marg, Kathmandu",,44600,NP,,Ananeke Beauty Salon,no_website
Yang,beauty care,,+9779849209569,,,"Galkopakha Marg, Kathmandu",,44600,NP,,Yang beauty care,no_website
Mangpahang,Unisex Salon (Mid-Baneswor),,+9779708073356,,,"Devkota Sadak, Kathmandu",,44600,NP,,Mangpahang Unisex Salon (Mid-Baneswor),no_website
Glow,Beauty Studio,,+97715908425,,,"Shop No. 301, Kathmandu Mall, Sundhara Marg, Kathmandu , Nepal, 3rd Floor, C",,44600,NP,,Glow Beauty Studio,no_website
Krish,Hair and Beauty Salon,,+9779860293120,,,"Kathmandu, Putali Sadak, Star Mall Ground Floor",,44600,NP,,Krish Hair and Beauty Salon,no_website
Posh,Beauty Studio,,+9779851023825,,,Kathmandu,,44600,NP,,Posh Beauty Studio,no_website
Elite,Hair Artist Salon and Academy,,+9779848067588,,,Kathmandu,,44600,NP,,Elite Hair Artist Salon and Academy,no_website
FEELING'S,BEAUTY & TRAINING CENTRE,,+9779843477274,,,Kathmandu,,44600,NP,,FEELING'S BEAUTY & TRAINING CENTRE,no_website
Shantaz,Salon and International Academy,,+97714917717,,,"Pipalbot, Pako Sadak, Kathmandu",,44600,NP,,Shantaz Salon and International Academy,no_website
Shahinoor,Unisex Salon Samakoshi,,+9779842748877,,,"Rehdon pool, Kathmandu",,46000,NP,,Shahinoor Unisex Salon Samakoshi,no_website
