firstname,lastname,email,phone1,phone2,phone3,address1,city,zipcode,country,website,company,tags
Nirjara,Beauty Salon : Best Beauty Parlour in Kathmandu,,+9779851097472,,,"Chunne Bhairab Marg, Kathmandu",,44600,NP,https://facebook.com,Nirjara Beauty Salon : Best Beauty Parlour in Kathmandu,single_contact
Glow,To Glow - Best Beauty Academy in Kathmandu Nepal,,+9779851116142,,,"New Baneshwor, Kathmandu",,44600,NP,https://glowtoglow.com,Glow To Glow - Best Beauty Academy in Kathmandu Nepal,single_contact
Shahinoor,Unisex Salon,,+9779842748877,+9779842748877,+9779842748877,Kathmandu,,46000,NP,https://shahinoorunisexsalon.com,Shahinoor Unisex Salon,single_contact
Beauty,& Co.,,+9779818459500,,,Kathmandu,,44600,NP,https://instagram.com,Beauty & Co.,single_contact
Tilu,Hair & Beauty Salon,,+9779803224742,,,"Sarkari Dhara, Mhepi Marg, Kathmandu",,44600,NP,https://bit.ly,Tilu Hair & Beauty Salon,single_contact
Asylum,Hair Salon,,+97714531450,,,"A-One Business Complex, Thamel Marg, Kathmandu",,44600,NP,https://asylumhairsalon.com,Asylum Hair Salon,single_contact
Volume,Salon & Academy KTM,,+9779826453321,,,"Bhagwati Temple, Sanogaucharan near, Kathmandu",,44600,NP,https://volumesalons.com.np,Volume Salon & Academy KTM,single_contact
7,Thirteen Unisex Hair Salon,,+97715911552,,,Kathmandu,,44600,NP,https://facebook.com,7 Thirteen Unisex Hair Salon,single_contact
De'Lavish,Beauty Centre,,+9779808561602,,,Kirtipur,,44600,NP,https://m.facebook.com,De'Lavish Beauty Centre,single_contact
Habibs,Hair & Beauty Salon,,+97714169061,,,"2nd Floor Kasthamandap Bazaar, Teendhara Marg, Kathmandu",,44605,NP,https://habibssalon.com,Habibs Hair & Beauty Salon,single_contact
Cma,Creativity (The Hair Studio) Salon,,+9779821754536,,,"Bibhuti Marga, Kathmandu",,44600,NP,https://instagram.com,Cma Creativity (The Hair Studio) Salon,single_contact
Aroma,Makeup And Beauty Studio,,+9779743954005,,,"ATMA GYAN, Kathmandu",,44600,NP,https://facebook.com,Aroma Makeup And Beauty Studio,single_contact
XCosmopolitan,,,+9779851362553,,,"P87F+4JC, Kathmandu",,44600,NP,https://xcosmopolitan.com.np,XCosmopolitan,single_contact
Neeldavid's,,,+9779841501768,,,"Eyeplex Mall, Devkota Sadak, Kathmandu",,44600,NP,https://instagram.com,Neeldavid's,single_contact
Eros,Cuts,,+9779809777982,,,"P894+37F, Kathmandu",,44600,NP,https://eroscuts.com,Eros Cuts,single_contact
Serene,Salon & SPA,,+97715322702,,,"Hotel Yak & Yeti Lane, Durbar Marg, Kathmandu",,44600,NP,https://serenewellnessnepal.com,Serene Salon & SPA,single_contact
SoDaana!,,,+9779818099939,,,"Kesarmahal Rd, Kathmandu",,44600,NP,https://instagram.com,SoDaana!,single_contact
Hira,Salon,,+97714548377,+9779851068377,,"Radha krishna complex, 3rd floor, Kathmandu",,44600,NP,https://hirasalon.com,Hira Salon,single_contact
Nirjara,Beauty Salon & Academy Chabahil,,+9779801138668,,,"Centra Complex, Kathmandu",,44600,NP,https://facebook.com,Nirjara Beauty Salon & Academy Chabahil,single_contact
Zoom,Beauty Academy - Best Beauty Academy in Nepal,,+9779802351564,,,"P84G+P57 Shri Raj Bhawan, Shree Raj Bhawan, Tinkune Madan Bhandari Road, Kathmandu",,44600,NP,https://zoombeautyacademy.com,Zoom Beauty Academy - Best Beauty Academy in Nepal,single_contact
Rajesh,Unisex Salon Hair & Skin Care,,+9779812737130,,,"Chowk Chagal Marg, Kathmandu",,44620,NP,https://facebook.com,Rajesh Unisex Salon Hair & Skin Care,single_contact
