Email,Phone,First Name,Last Name,Country,Zip
,+9779851097472,Nirjara,Beauty Salon : Best Beauty Parlour in Kathmandu,NP,44600
,+9779851116142,Glow,To Glow - Best Beauty Academy in Kathmandu Nepal,NP,44600
,+9779842748877,Shahinoor,Unisex Salon,NP,46000
,+9779818459500,Beauty,& Co.,NP,44600
,+9779803224742,Tilu,Hair & Beauty Salon,NP,44600
,+97714531450,Asylum,Hair Salon,NP,44600
,+9779826453321,Volume,Salon & Academy KTM,NP,44600
,+97715911552,7,Thirteen Unisex Hair Salon,NP,44600
,+9779808561602,De'Lavish,Beauty Centre,NP,44600
,+97714169061,Habibs,Hair & Beauty Salon,NP,44605
,+9779821754536,Cma,Creativity (The Hair Studio) Salon,NP,44600
,+9779743954005,Aroma,Makeup And Beauty Studio,NP,44600
,+9779851362553,XCosmopolitan,,NP,44600
,+9779841501768,Neeldavid's,,NP,44600
,+9779809777982,Eros,Cuts,NP,44600
,+97715322702,Serene,Salon & SPA,NP,44600
,+9779818099939,SoDaana!,,NP,44600
,+9779851068377,Hira,Salon,NP,44600
,+9779801138668,Nirjara,Beauty Salon & Academy Chabahil,NP,44600
,+9779802351564,Zoom,Beauty Academy - Best Beauty Academy in Nepal,NP,44600
,+9779812737130,Rajesh,Unisex Salon Hair & Skin Care,NP,44620
,+9779808429858,MY,Sangalo Luxury Studio,NP,44600
,+9779803972581,Hair,& Beauty by Sangita,NP,44600
,+9779851132433,Spark,and Shine Nails,NP,
,+9779843866451,Diamond,Spa and Beauty Salon,NP,44600
,+9779851348288,Kesh,The Unisex Salon,NP,44600
,+97715920127,Doll,Lashon - Beauty Studio & Academy,NP,44600
,+9779766453842,Orane,Unisex Salon & Makeup Studio,NP,44600
,+9779803435325,Crown,unisex salon,NP,44600
,+9779841535180,New,Raju Unisex Salon,NP,00977
,+9779705403699,Curlstudio,Nepal,NP,44600
,+9779802351573,Zoom,Beauty Academy - Best Beauty Academy in Swoyambhu Kathmandu,NP,44620
,+9779818074615,Breeze,Hair & Beauty Salon,NP,44600
,+9779864127681,Looks,"Salon, Beauty Hub and Training Centre",NP,44600
,+9779849791855,Elegance,Beauty Salon and Training Centre,NP,44600
