SN,Business Name,Action
1,Aadhaar center,pending
2,Abarth dealer,pending
3,Abbey,pending
4,Aboriginal and Torres Strait Islander organisation,pending
5,Aboriginal art gallery,pending
6,Abortion clinic,pending
7,Abrasives supplier,pending
8,Abundant Life church,pending
9,Açaí shop,pending
10,Acaraje restaurant,pending
11,Accountant,pending
12,Accounting firm,pending
13,Accounting school,pending
14,Accounting software company,pending
15,Acoustical consultant,pending
16,Acrobatic diving pool,pending
17,Acrylic store,pending
18,Acupuncture clinic,pending
19,Acupuncture school,pending
20,Acupuncturist,pending
21,Acura dealer,pending
22,Addiction treatment center,pending
23,Administrative attorney,pending
24,Adoption agency,pending
25,Adult day care center,pending
26,Adult DVD store,pending
27,Adult education school,pending
28,Adult entertainment club,pending
29,Adult entertainment store,pending
30,Adult foster care service,pending
31,Adventure sports center,pending
32,Advertising agency,pending
33,Commercial photographer,pending
34,Aerated drinks supplier,pending
35,Antenna service,pending
36,Aerial photographer,pending
37,Aerial sports center,pending
38,Aero dance class,pending
39,Aerobics instructor,pending
40,Aeroclub,pending
41,Aeromodel shop,pending
42,Aeronautical engineer,pending
43,Aerospace company,pending
44,Afghan restaurant,pending
45,African goods store,pending
46,African restaurant,pending
47,After school program,pending
48,Agenzia Entrate,pending
49,Aggregate supplier,pending
50,Agistment service,pending
51,Agricultural association,pending
52,Agricultural cooperative,pending
53,Agricultural engineer,pending
54,Agricultural high school,pending
55,Agricultural machinery manufacturer,pending
56,Agricultural organization,pending
57,Agricultural product wholesaler,pending
58,Agricultural production,pending
59,Agricultural service,pending
60,Agrochemicals supplier,pending
61,Aikido club,pending
62,Aikido school,pending
63,Air ambulance service,pending
64,Air compressor repair service,pending
65,Air compressor supplier,pending
66,Air conditioning contractor,pending
67,Air conditioning repair service,pending
68,Air conditioning store,pending
69,Air conditioning system supplier,pending
70,Air duct cleaning service,pending
71,Air filter supplier,pending
72,Air force base,pending
73,Air taxi,pending
74,Airbrushing service,pending
75,Airbrushing supply store,pending
76,Aircraft dealer,pending
77,Aircraft maintenance company,pending
78,Aircraft manufacturer,pending
79,Aircraft rental service,pending
80,Aircraft supply store,pending
81,Airline,pending
82,Airline ticket agency,pending
83,Airplane,pending
84,Airport,pending
85,Airport shuttle service,pending
86,Airsoft supply store,pending
87,Airstrip,pending
88,Alcohol manufacturer,pending
89,Alcohol retail monopoly,pending
90,Alcoholic beverage wholesaler,pending
91,Alcoholism treatment program,pending
92,Alfa Romeo dealer,pending
93,Algerian Restaurant,pending
94,Allergist,pending
95,Alliance church,pending
96,Alsace restaurant,pending
97,Alternative fuel station,pending
98,Alternative medicine practitioner,pending
99,Alternator supplier,pending
100,Aluminum supplier,pending
101,Aluminum frames supplier,pending
102,Aluminum welder,pending
103,Aluminum window,pending
104,Amateur theater,pending
105,Ambulance service,pending
106,American grocery store,pending
107,American restaurant,pending
108,Amish furniture store,pending
109,Ammunition supplier,pending
110,Amphitheater,pending
111,Amusement center,pending
112,Amusement machine supplier,pending
113,Amusement park,pending
114,Amusement park ride,pending
