Title,Address,Phone,country_code,Website,Emails
SANDAKPHU TEA EXPORTS,"Jawalakhel, Lalitpur, काठमाडौँ 08975",+9779817133611,977,,null
Suiro Teas,"P8GJ+FJH, Embassy Marg, काठमाडौँ 44600",+9779802356953,977,https://suiroteas.com,suiro.tearoom@gmail.com
Teafresho,"Inside Thamel Eco Resort, काठमाडौँ 44600",+9779851358768,977,https://instagram.com,null
Nepal Tea Exchange,"Gangahity Marg, Chabahil - 07, काठमाडौँ 44600",+97714579910,977,https://nepalteaexchange.com,null
BG Tea Bar,काठमाडौँ 44600,+97714479122,977,https://baskotagroup.com,info@baskotagroup.com
Organic Tea Hub,"P866+RR2, काठमाडौँ 44600",+9779820150606,977,,null
Nepal Tea Development Corporation,काठमाडौँ 44600,+97715332271,977,https://ntdc.com.np,info@ntdc.com.np
Nepal Tea Collective Corporate Office,"M8J3+F72 Near Prahari Pravag, ललितपुर 44600",+9779802807667,977,https://nepalteacollective.com.np,null
crazy tea and incense house,"अमृत मार्ग 44600, काठमाडौँ 44600",+9779803506132,977,,null
Kanchanjangha Tea Estate,"P83Q+6MM, panchthar shuntolabari, Phidim 57400",+9779851013022,977,,null
नेपाल चिया घर,"P835+C9R, काठमाडौँ 44600",+97715346703,977,,null
Himalaya Green Tea Kathmandu,"P7FX+795, काठमाडौँ 44600",+9779810180405,977,,null
BG Tea Studio/ TM - Center,काठमाडौँ 44600,+9779860309789,977,https://baskotagroup.com,info@baskotagroup.com
Sancheti Enterprise,"M9M5+FWJ, काठमाडौँ 44600",+9779802318119,977,https://sanchetiteagroup.com,sanchetiteagroup@gmail.com
Tea Heritage Nepal,"Naghal tole, opp. to Kaathe Swoyambhu, श्री घ: विहार, काठमाडौँ 44600",+9779851036001,977,,null
Shahi Karnali Jadibuti and Tea Masala Suppliers,"P867+558, ज्याथा मार्ग, काठमाडौँ 44600",,NP,,null
Buddha Tea House,"JP Rd, काठमाडौँ 44600",+9779841816501,977,,null
चियापान,काठमाडौँ 44600,+97714512090,977,https://chiyapan.com.np,chiyapaan@gmail.com
Ilam Tea & Coffee Traders,"Opposite of boudhanath get, Boudhachaitya, काठमाडौँ 44600",+9779841341329,977,,null
Jumli Marsi Organic & Yarsa Herbs center,काठमाडौँ 44600,+9779863995870,977,https://herbsellcenter.com,support@herbsellcenter.com
TEALAYA ️,काठमाडौँ 44600,+9779851011499,977,,null
Saanvi Chiya Packaging Udhyog,"Biruwa road, भक्तपुर",+9779813777508,977,,null
Nepal's Tea Trading,"P8HP+7W6. Manshree Marg. Kathmandu 20654, काठमाडौँ 44600",+9779851069859,977,https://facebook.com,null
STI Group Nepal,"P87G+XQ9, काठमाडौँ 44600",+9774422213,977,,null
Himalaya Tea Traders,"ठमेल मार्ग, काठमाडौँ 44600",+97715903734,977,,null
एस.एम.एस एक्सपोर्ट,"ठमेल मार्ग, काठमाडौँ 44600",+9779841087733,977,,null
Satungal Road Chandragiri,"M6MV+QHH, चन्द्रागिरी 44600",,NP,,null
Panda Boba Tea,"Karkhana, Soyambhu Kathmandu, chwok 44600",+9779763698694,977,,null
"Organic Herbs Nepal (Herbs, Essential Oils & Tea from Himalayas)","P9C6+RQ7 Inside Boudhanath Stupa On the way to Flavors Cafe- Bigbell, बौद्ध सडक, काठमाडौँ 44602",+9779844644306,977,,null
Everest Tea Shop and Handicrafts,"M8GG+29F Swotha Narayan, Swotha Rd, ललितपुर 44600",+97715532931,977,https://nepalteashop.earthnepal.com,dasu.ets@gmail.com
"""Cashmere Bliss"" - (Whispered Elegance in Cashmere & Pashmina)","कर्मचारी सञ्चय कोष भवन, त्रिदेवी सडक, काठमाडौँ 44600",+9779847388134,977,https://cashmerebliss.com,cashmerebliss07@gmail.com
Jammy's Bubble Tea - Chakrapath B G,"Burger house, चक्रपथ, काठमाडौँ 44600",+9779808171885,977,,null
राष्ट्रिय चिया तथा कफी विकास बोर्ड,"Kirtipur Rd, कीर्तिपुर 44618",+97714495792,977,https://teacoffee.gov.np,info@ntcdb.gov.np
Yo Boba Nepal,"Jhamsikhel, Lalitpur, 44600, Kathmandu 44610",+9779802310312,977,https://instagram.com,null
Goodluck Handicrafts,"ठमेल मार्ग, काठमाडौँ 44600",+9779813934493,977,,null
Changing Nepal,अनन्तलिङ्गेश्वर 44600,+9779851131427,977,https://changingnepal.com.np,sales@changingnepal.com.np
Sourcing Nepal -Top Sourcing Company for Nepali Products,"Na-Tola, ललितपुर 44600",+9779766626738,977,https://sourcingnepal.com,sourcing@sourcingnepal.com
फ्रेण्डली पश्मिना एक्सपोर्ट,"P876+GG3, ठमेल मार्ग, काठमाडौँ 44600",+97714266814,977,https://friendly-export.com,null
हिमालयन जाभा कफी,"Mandala Street, काठमाडौँ 44600",+97714422519,977,https://himalayanjava.com,info@himalayanjava.com
Naulo Bubbletea,"Panoramic Nepal, ललितपुर 44600",+9779745709672,977,,null
Jammy's Bubble Tea - Kapan,"SaraswortiNagar - Chabahil, काठमाडौँ 44600",+9779808171885,977,https://facebook.com,null
Double A Cafe,"Chabahal: / Pimbahal Lalitpur, काठमाडौँ 44707",+9779803344221,977,,null
Boudha Stupa Thanka Centre,"बौद्ध सडक 6, काठमाडौँ 44600",+9779851030353,977,https://bstcthanka.com,info@bstcthanka.com
S.K. Handicrafts Export .FAIR TRADE Cashmere Company,"Amrit Marg 44600, 44600",+97715355372,977,https://skhandicraftnepal.com,skhandicrafts2006@gmail.com
M Craft Shop,"J P Road Chaksibari Marg 118 Opposite Nepal Investment Bank, 44600",+97714266802,977,,null
वि. जि. कन्सर्न,"Neel Saraswati Marg, काठमाडौँ 44600",+97714539575,977,https://wholesalepasalplus.com,wholesalepasalplus@gmail.com
सबै नेपाली टी र कफी केन्द्र,"M8Q8+2J5, ललितपुर 44600",+97715535457,977,https://allnepaltea.com,info@allnepaltea.com
Thimi Ceramics,"Madhyapur thimi, ward no.5, nasanani, मध्यपुर थिमि 44811",+97716632421,977,https://thimiceramics.com,info@thimiceramics.com
Nepal Organic Coffee Product - NOCP,"P886+HPR, ठमेल मार्ग, काठमाडौँ 44600",+97716215842,977,https://nocp.com.np,info@nocp.com.np
बराह ज्वेलरी ईण्डष्ट्रिज,"P836+7XQ, त:धा हिति गल्ली, काठमाडौँ 44600",+97715332964,977,,null
Katman' Du Coffee,"P899+VH3, Lazimpat Rd, काठमाडौँ 44600",+9779851116163,977,,null
Top Of The World Jhamsikhel,"Arun Thapa Chowk, Jhamsikhel Rd 3, ललितपुर 44600",+9779704510426,977,,null
DHANAKUTE LUNGAKO KHAJA GHAR धनकुटे लुङ्गाको खाजा घर,"SURYABINAYAK-03, 00977",,NP,,null
Cosmetics & bubble tea,"कालो पुल, काठमाडौँ 44600",+9779851221647,977,https://secretislandguska.com,infoguska@gmail.com
एभोकाडो क्याफे,"ठमेल मार्ग, काठमाडौँ 44600",+97714512805,977,https://avocadocafenepal.com.np,avocadocafeblwtr@gmail.com
Sancheti Tea,"M8WW+7F7, काठमाडौँ 44600",+9779802332397,977,,null
उपार्जन चिया सहकारी,"F9RG+544, मानिखेल 44700",,NP,,null
A.K. Export,"ठमेल-२९, ठमेल मार्ग, काठमाडौँ 44600",+9779851031728,977,,null
