Title,Address,Phone,Website,Emails
Trattoria Dell'Arte,"900 7th Ave, New York, NY 10106, संयुक्त राज्य",12122459800,https://trattoriadellarte.com,null
Felice 56,"15 W 56th St, New York, NY 10019, संयुक्त राज्य",16464377272,https://felicerestaurants.com,null
Tony's Di Napoli,"1081 3rd Ave, New York, NY 10065, संयुक्त राज्य",12128886333,https://tonysnyc.com,null
L'Osteria,"1219 Lexington Ave, New York, NY 10028, संयुक्त राज्य",16465246294,https://losterianyc.com,info@losterianyc.com
Il Melograno,"501 W 51st St, New York, NY 10019, संयुक्त राज्य",12127579290,https://ilmelogranonyc.com,null
Nocello,"257 W 55th St, New York, NY 10019, संयुक्त राज्य",12127130224,https://nocello.net,nocello@yahoo.com
Carmine's - Upper West Side,"2450 Broadway, New York, NY 10024, संयुक्त राज्य",12123622200,https://carminesnyc.com,null
Lucciola,"621 Amsterdam Ave, New York, NY 10024, संयुक्त राज्य",13475361335,https://lucciolanyc.com,reservation@lucciolanyc.com;contactinfo@lucciolanyc.comreservation;info@lucciolanyc.com
Il Corso,"54 W 55th St, New York, NY 10019, संयुक्त राज्य",12129571500,https://ilcorsorestaurant.com,11pminfo@ilcorsorestaurant.com;info@ilcorsorestaurant.com
La Voglia NYC,"1645 3rd Ave, New York, NY 10128, संयुक्त राज्य",12124170181,https://lavoglianyc.com,info@lavoglianyc.com;-417-0181info@lavoglianyc.compowered
Masseria East,"1404 3rd Ave, New York, NY 10075, संयुक्त राज्य",12125353520,https://masseriaeast.com,info@masseriaeast.com
Nica Trattoria,"354 E 84th St, New York, NY 10028, संयुक्त राज्य",12124725040,https://nica.nyc,null
Osteria La Baia,"129 W 52nd St, New York, NY 10019, संयुक्त राज्य",19176719898,https://labaianyc.com,null
Piccola Cucina Uptown,"106 E 60th St, New York, NY 10022, संयुक्त राज्य",16467073997,https://piccolacucinagroup.com,null
La Pecora Bianca UES,"1562 2nd Ave, New York, NY 10028, संयुक्त राज्य",12123009840,https://lapecorabianca.com,null
Bottega,"1331 2nd Ave, New York, NY 10021, संयुक्त राज्य",12122885282,https://bottegany.com,null
Giardino 54,"400 1/2 W 54th St, New York, NY 10019, संयुक्त राज्य",16467264575,https://giardino54.com,null
Osteria Cotta,"513 Columbus Ave, New York, NY 10024, संयुक्त राज्य",12128738500,https://cottanyc.com,null
Pisticci,"125 La Salle St, New York, NY 10027, संयुक्त राज्य",12129323500,https://pisticcinyc.com,info@pisticcinyc.com
Bigoi Venezia,"1415 2nd Ave, New York, NY 10021, संयुक्त राज्य",19172620680,https://bigoivenezia.com,contact@bigoivenezia.compowered;contact@bigoivenezia.com
Donna Margherita,"1304A 2nd Ave, New York, NY 10065, संयुक्त राज्य",12127721169,https://donnamargheritany.com,info@donnamargheritany.comlocation1304;states2127721169info@donnamargheritany.com;info@donnamargheritany.comlocation;info@donnamargheritany.com
Quality Italian,"57 W 57th St, New York, NY 10019, संयुक्त राज्य",12123901111,https://qualityitalian.com,null
Sandro's,"322 East 86th St, New York, NY 10028, संयुक्त राज्य",12122887374,https://sandrosrestaurant.com,null
Campagnola,"1382 First Ave, New York, NY 10021, संयुक्त राज्य",12128611102,https://campagnola-nyc.com,null
Il Mulino New York - Uptown,"37 E 60th St, New York, NY 10065, संयुक्त राज्य",12127503270,https://imny.com,null
Serafina Broadway 55th (Midtown),"210 W 55th St, New York, NY 10019, संयुक्त राज्य",12123151700,https://serafinarestaurant.com,null
Il Gattopardo,"13-15 W 54th St, New York, NY 10019, संयुक्त राज्य",12122460412,https://ilgattopardonyc.com,contactus@ilgattopardonyc.com
Felice 71- Columbus,"240 Columbus Ave, New York, NY 10023, संयुक्त राज्य",12129311150,https://felicerestaurants.com,null
L’incontro by Rocco,"1572 2nd Ave, New York, NY 10028, संयुक्त राज्य",17187213532,https://lincontrobyrocco.com,null
Polpette 71,"71 W 71st St, New York, NY 10023, संयुक्त राज्य",12128751512,https://polpetteny.com,management.polpettenyc@gmail.com
Bellini,"483 Columbus Ave, New York, NY 10024, संयुक्त राज्य",12127244615,https://bellininewyork.com,-724-4615bellininy@gmail.compowered;bellininy@gmail.com;-724-4615bellininy@gmail.com
Marea,"240 Central Park S, New York, NY 10019, संयुक्त राज्य",12125825100,https://marearestaurant.com,null
Sfoglia,"1402 Lexington Ave, New York, NY 10128, संयुक्त राज्य",12128311402,https://sfogliarestaurant.com,eat@sfogliarestaurant.com
SESAMO - Italian Restaurant Hell's Kitchen NYC with Asian Influences,"764 10th Ave, Manhattan, NY 10019, संयुक्त राज्य",12122652755,https://sesamorestaurant.com,contact@sesamorestaurant.com
Caravaggio,"23 E 74th St, New York, NY 10021, संयुक्त राज्य",12122881004,https://caravaggioristorante.com,caravaggio23@aol.com
Patsy's Italian Restaurant,"236 W 56th St, New York, NY 10019, संयुक्त राज्य",12122473491,https://patsys.com,null
Trattoria Trecolori,"254 W 47th St, New York, NY 10036, संयुक्त राज्य",12129974540,https://trattoriatrecolori.com,null
Norma Hell's Kitchen,"801 9th Ave, New York, NY 10019, संयुक्त राज्य",12122466000,https://normarestaurant.com,info@normamurrayhill.com;info@normarestaurant.com;info@normahellskitchen.com;info@normaturtlebay.com
La Masseria NY,"235 W 48th St, New York, NY 10036, संयुक्त राज्य",12125822111,https://lamasserianyc.com,info@lamasserianyc.com;582-2111info@lamasserianyc.com
Serafina Always 61st (UES),"33 E 61st St, New York, NY 10065, संयुक्त राज्य",12127029898,https://serafinarestaurant.com,null
Celeste,"502 Amsterdam Ave, New York, NY 10024, संयुक्त राज्य",12128744559,https://celesterestaurantny.com,celesterestaurantnyc@gmail.com
