Title,Address,Phone,country_code,Website,Emails
Da Claudio,"21 Ann St, New York, NY 10038, संयुक्त राज्य",12122852668,,https://daclaudionyc.com,null
Osteria Barocca,"133 Mulberry St, New York, NY 10013, संयुक्त राज्य",12129511323,,https://ob-ny.com,null
Eataly,"101 Liberty St, New York, NY 10007, संयुक्त राज्य",12128972895,,https://eataly.com,null
Piccola Cucina Osteria Siciliana,"196 Spring St, New York, NY 10012, संयुक्त राज्य",16464787488,,https://piccolacucinagroup.com,null
Casa D'Angelo New York,"146 Mulberry St, New York, NY 10013, संयुक्त राज्य",12128048656,,https://cangelomulberry.com,804-8656cangelony@gmail.com
IL Cortile,"125 Mulberry St #4603, New York, NY 10013, संयुक्त राज्य",12122266060,,https://ilcortile.com,ilcortile@aol.com
Paesano,"136 Mulberry St, New York, NY 10013, संयुक्त राज्य",12129651188,,https://paesanosofmulberrystreet.com,null
Bacaro,"136 Division St, New York, NY 10002, संयुक्त राज्य",12129415060,,https://bacaronyc.com,info@bacaronyc.com
Gran Morsi,"22 Warren St, New York, NY 10007, संयुक्त राज्य",12125772725,,https://granmorsi.com,null
Piccola Cucina Estiatorio,"75 Thompson St, New York, NY 10012, संयुक्त राज्य",16467819183,,https://piccolacucinagroup.com,null
Buona Notte,"120 Mulberry St, New York, NY 10013, संयुक्त राज्य",12129651111,,https://buonanotte-nyc.com,buonanottenyc@gmail.com;www.buonanottenyc@gmail.com
Scalini Fedeli,"165 Duane St, New York, NY 10013, संयुक्त राज्य",12125280400,,https://scalinifedeli.com,null
L’Amore Restaurant,"171 Mulberry St, New York, NY 10013, संयुक्त राज्य",12128106063,,https://lamoreristorante.com,null
Via Carota,"51 Grove St, New York, NY 10014, संयुक्त राज्य",12122551962,,https://viacarota.com,null
Piacere,"351 Broome St, New York, NY 10013, संयुक्त राज्य",12122194080,,https://piacerenyc.com,null
San Carlo Osteria Piemonte,"90 Thompson St, New York, NY 10012, संयुक्त राज्य",12126251212,,https://sancarlonyc.com,info@sancarlonyc.com
Via Della Pace,"87 E 4th St, New York, NY 10003, संयुक्त राज्य",12122535803,,https://viadellapacenyc.com,vdpnyc@yahoo.com;vdpnyc@yahoo.compowered
La Bella Vita,"163 Mulberry St, New York, NY 10013, संयुक्त राज्य",12127758484,,https://labellavitalittleitaly.com,labellavita163@gmail.com
Il Mulino - Downtown (West 3rd),"86 W 3rd St, New York, NY 10012, संयुक्त राज्य",12126733783,,https://ilmulino.com,events@ilmulino.com;giftcard@ilmulino.com;info@ilmulino.com
Il Brigante,"214 Front St, New York, NY 10038, संयुक्त राज्य",12122850222,,https://ilbrigantenyc.com,info@ilbrigantenyc.com
Da Gennaro,"129 Mulberry St, New York, NY 10013, संयुक्त राज्य",12124313934,,https://dagennarorestaurant.com,dagennarorestaurant@gmail.com
La Nonna,"134 Mulberry St, New York, NY 10013, संयुक्त राज्य",12123346200,,https://lanonnaristorante.com,null
La Lanterna di Vittorio,"129 MacDougal St, New York, NY 10012, संयुक्त राज्य",19176393236,,https://lalanterna.nyc,null
Risotteria Melotti NYC,"309 E 5th St, New York, NY 10003, संयुक्त राज्य",16467558939,,https://risotteriamelottinyc.com,nyc@risotteriamelotti.com
Osteria Carlina West Village,"455 Hudson St, New York, NY 10014, संयुक्त राज्य",16465595137,,https://osteriacarlina.com,barmariobk@gmail.com;info@osteriacarlina.com;office@osteriacarlina.com;reservations@osteriacarlina.com
Osteria 57,"57 W 10th St, New York, NY 10011, संयुक्त राज्य",12127770057,,https://osteria57.com,null
L'Artusi,"228 W 10th St, New York, NY 10014, संयुक्त राज्य",12122555757,,https://lartusi.com,null
Petrarca Cucina e Vino,"34 White St, New York, NY 10013, संयुक्त राज्य",12126252800,,https://petrarcatribeca.com,null
Supper,"156 E 2nd St, New York, NY 10009, संयुक्त राज्य",12124777600,,https://supperrestaurant.com,null
Zia Maria Little Italy,"138 Mulberry St, New York, NY 10013, संयुक्त राज्य",16465907873,,https://ziamarialittleitaly.com,ziamarianyc@gmail.com
Mamo,"323 W Broadway, New York, NY 10013, संयुक्त राज्य",16469644641,,https://mamorestaurant.com,info@mamonyc.com;reservations@mamonyc.com
Serafina Tribeca,"95 W Broadway, New York, NY 10007, संयुक्त राज्य",12127662700,,https://serafinarestaurant.com,null
Pepolino,"281 W Broadway, New York, NY 10013, संयुक्त राज्य",12129669983,,https://pepolino.com,null
Osteria Del Porto,"212 Front St, New York, NY 10038, संयुक्त राज्य",16465906053,,https://osteriadelportonyc.com,null
San Marzano,"117 2nd Ave, New York, NY 10003, संयुक्त राज्य",12127773600,,https://sanmarzanonyc.com,null
Giardino D'Oro,"5 Gold St, New York, NY 10038, संयुक्त राज्य",12125146400,,https://giardinodoro.com,null
La Mela,"167 Mulberry St, New York, NY 10013, संयुक्त राज्य",12124319493,,https://lamelarestaurant.com,null
Jose Luis Little Italy,"115 Mulberry St, New York, NY 10013, संयुक्त राज्य",19172617732,,https://joseluislittleitaly.com,null
Osteria La Baia,"129 W 52nd St, New York, NY 10019, संयुक्त राज्य",19176719898,,https://labaianyc.com,null
il Buco,"47 Bond St, New York, NY 10012, संयुक्त राज्य",12125331932,,https://ilbuco.com,null
da Toscano,"24 Minetta Ln, New York, NY 10012, संयुक्त राज्य",12126064054,,https://datoscano.com,null
AMICI,"165 Mulberry St, New York, NY 10013, संयुक्त राज्य",12122032766,,https://amicinyc.com,10013amicinyc@gmail.com;amicinyc@gmail.com
Gelso & Grand,"186 Grand St, New York, NY 10013, संयुक्त राज्य",12122261600,,https://gelsoandgrand.com,null
Monte's Trattoria,"97 MacDougal St, New York, NY 10012, संयुक्त राज्य",12126749456,,https://montestrattorianyc.com,contact@montestrattorianyc.com
Carbone New York,"181 Thompson St, New York, NY 10012, संयुक्त राज्य",,,https://carbonenewyork.com,10012reservations@carbonenewyork.comfacebookinstagramreserve;reservations@carbonenewyork.com;reservations@carbonenewyork.com.major
