Title,Address,Phone,country_code,Website,Emails
फिल गुड बार एण्ड ग्रिल,"Airport Mode, विराटनगर 56613",+9779812300622,977,,null
ओलीभ क्याफे,"F7PG+4G8, विराटनगर 56613",+97721464681,977,,null
Hangout Cafe,"धर्मभक्त मार्ग, विराटनगर 56613",+9779804373032,977,,null
Cloud Nine Cafe and Bar,"F75J+JC5, विराटनगर 56700",,NP,https://instagram.com,null
Zero Point,"F7GG+RFV, विराटनगर 56613",+9779702680290,977,,null
New Deurali Restura,"Ragupati Jane bato, विराटनगर 56613",+9779811003000,977,,null
F.R.I.E.N.D.S चिया गफ,"F7HM+RH3, विराटनगर 56613",+9779851016782,977,,null
पर्पल हेज रेस्ट्राे एण्ड गाडेन,"Airport Rd, विराटनगर 56613",+97721464193,977,purplehaze.chefsnepal.com,null
Trishna-The Craving Tales,"F7MF+XPM, विराटनगर 56613",+9779819384639,977,,null
कुश गार्डेन,विराटनगर 56613,+9779802763000,977,,null
माङ हाङ होटल,"Dharan Rd, विराटनगर 56613",+9779862170448,977,,null
Tandoor,"Dharan RD Opposite of Yatayat karlaya khaji chowk, विराटनगर 56613",+9779745877199,977,,null
Bajeko Sekuwa Biratnagar,"Pipal Chowk, विराटनगर 56613",+9779802352423,977,https://bajekosekuwa.com,null
Sasurali Cafe and Restaurant,"Main Rd (North) 9, विराटनगर 56613",+9779820715881,977,https://facebook.com,null
Old School,"C7VG+297, विराटनगर 56613",+9779851016782,977,,null
Pizfire - Pipal Chowk,"F7JG+JVJ, बरगाँछी मार्ग, विराटनगर 56613",+97721465431,977,https://pizfire.com,null
Malta Khaja Ghar,"F73H+CJP, कलेज रोड, विराटनगर 56613",+9779808871571,977,,null
Lok Sewa Restro & Bar,"F7MG+6X, विराटनगर 56613",+9779823553501,977,,null
Hashtag Food & Bar,विराटनगर 00977,+9779804304044,977,,null
Kitli Bakery & Cafe House,विराटनगर 56613,+9779860006078,977,,null
London House Resort,"Biratnagar Kharji, विराटनगर 56613",+9779820726213,977,,null
सारङगी फास्ट फुड रेस्टुरेन्ट,"F75M+65R, विराटनगर 56613",+97721537293,977,,null
Yaksa restaurant,"F7FG+JFX, विराटनगर 56613",+9779704517077,977,,null
H100% Family Restaurant,"F74H+R4R, विराटनगर 56613",+9779824346297,977,,null
Dazzu’s Tea Shop (दाज्जुको चिया पसल्),"F76M+XHP, सहिद मार्ग, विराटनगर 56613",+9779852041447,977,https://m.facebook.com,null
The epic dinner and grill,"Rainbow Galli, शंखधर साख्वाः मार्ग, विराटनगर 56613",+9779842041811,977,,null
Unique Fast Food & Restaurant,"Jaljala Chowk, Main Rd (North), विराटनगर 56613",+97721590413,977,,null
Mozzo cafe,"Main Rd (North), विराटनगर 56613",+9779824311855,977,,null
Happy Hour Heaven,विराटनगर 56613,+9779805325486,977,,null
होटल हैरिसन प्यालेस,"F78P+XQW, बजरंगबली मार्ग, विराटनगर 56613",+97721511034,977,hotelharrisonpalace.com,null
अड्मायर क्याफे,"F79G+PGQ, विराटनगर 56613",+9779812384178,977,,null
Zaika Hotel & Restaurant Biratnagar जाइका होटल एण्ड रेस्टुरेन्ट,"C7PF+96P, विराटनगर 56613",+9779826309440,977,,null
Cafez,"Roadcess Opposite of Mahendra Morang college, विराटनगर 56613",+9779814391152,977,,null
सस:छें रेष्टुरा,"Bus park, विराटनगर 56613",+9779840274900,977,,null
युनिक स्विट्स एण्ड स्न्याक्स,"Ground Floor, Main Rd (North), विराटनगर 56613",+97721590114,977,,null
ANGAN SWEETS & VEGETARIAN FAMILY RESTAURANT,"Near, Main Rd (North), विराटनगर 56613",+97721512445,977,,null
Paarijat Fast Food,"Sukrapath, Biratnagar - 6 Behind Centurion Mall, Near Bhatbhateni (Shiva Mandir Back Biratnagar",+9779810405309,977,,null
Desi Swaad,"Nobel, Road Kanchanbari, विराटनगर 56613",+9779705432195,977,https://order.desiswaad.com.np,null
Treat Up Restaurant & Bar,"Dharan Rd Chowk, विराटनगर 56613",+9779816168897,977,,null
Punam Hotel,"F77C+JW6, विराटनगर 56613",,NP,,null
Dari Dai ko Ghar,"मेन रोड (दक्षिण), विराटनगर 56613",,NP,,null
Nanglo,"F79M+7CW, तीनपैनी मार्ग, विराटनगर 56613",+9779804331386,977,https://facebook.com,null
"पिजफायर, सेन्ट्रल मल","Central mall, Main Rd (North) 7, विराटनगर 56613",+9779802738216,977,,null
अरबियन फ्राइड चिकन,विराटनगर 56613,+9779827077983,977,,null
Anytime Restaurant & Bar (ATB),"F7VH+FMW, आयल निगम मार्ग, विराटनगर 56613",+9779863211789,977,,null
Chaubato Cafe,"Tintoliya, विराटनगर 56613",+9779844656333,977,,null
Chiya wallas,"Bhanu tole, कलेज रोड, विराटनगर 56613",+9779820750074,977,,null
Sailung restaurant,"F78M+6F3, शनिहाट मार्ग, विराटनगर 56613",,NP,,null
Birat Biryani House,"F75M+397 Green Cross Hospital, विराटनगर 56613",+9779823505047,977,,null
बैजुको पुरी जलेबी पसल । Baijuko Puri Jalebi Pasal,"F73P+55P, Siddhartha Marg, विराटनगर 56613",+9779805323320,977,,null
"SAMRAT-PUB I CLUB I RESTAURANT, Biratnagar","F7PF+2H3, Airport Rd, विराटनगर 56613",+9779814391808,977,https://m.facebook.com,null
Timur Thakali Restaurant & Bar,"Himalaya Road 14, महेन्द्र मार्ग chowk, विराटनगर 56613",+9779815318189,977,,null
Singhasan,"Airport Rd 04, विराटनगर 56613",+9779702631705,977,https://singhasanrestro.com,null
रोयल किचन रेस्ट्रो र लज,"F73H+CG8, विराटनगर 56613",+9779842041870,977,,null
Gelal Sekuwa (Barbeque),"Dharan Rd, विराटनगर 56613",+9779842077074,977,,null
young heart restaurant,"F7PJ+R3, विराटनगर 56613",+9779842069470,977,,null
Tandav Restro and Bar,विराटनगर 56613,+9779852082300,977,,null
रंगोज मःमः हट,"F73J+V45 Rainbow galli, विराटनगर 56613",+9779802707062,977,https://rongosmomohut.com,null
Bande Hotel,"सोमवारे हटिया मार्ग, विराटनगर 56613",+9779842069163,977,,null
रोङोस मो मो हट,"रामजानकी पथ, विराटनगर 56613",+9779802707060,977,https://rongosmomohut.com,null
ब्याम्बो हाउस फ्यामिली रेष्ट्रो तथा बार,"F77H+8JM, डि.एस.पी. रोड, विराटनगर 56613",,NP,,null
New Pathibhara Tiffin Room,"F73H+7C9, कलेज रोड, विराटनगर 56613",,NP,,null
THE ROYAL ZAIKA,"F74H+FQF, बुद्ध मार्ग, विराटनगर 56613",+9779804049226,977,https://restaurantlogin.com,null
सम्झना मोमो पसल,"F73J+J2R, विराटनगर 56613",+9779842244592,977,,null
World of Waffles Biratnagar,"F76J+VPQ, विराटनगर 56613",+9779825539282,977,,null
Hungry cafe,"Dharan Rd, विराटनगर 56613",,NP,,null
ओक्रा क्याफे,विराटनगर 56613,+9779805957234,977,,null
OLD DARBAR RESTRO,"Tanki, विराटनगर 56613",+9779706112642,977,,null
Fun N Food Village Resort,"F74V+XC6, विराटनगर 56613",+9779817363071,977,,null
Baanu's Bistrooo,"F7PM+C42, विराटनगर 56613",+9779862005492,977,,null
रोयल बिरयानी हाउस,"Digital Cyber Cafe Near Traffic Chowk, विराटनगर",+9779811070947,977,,null
टम र जेरी,"F73H+PQH, साई मन्दिर मार्ग, विराटनगर 56613",+9779811303493,977,,null
Rangi Garden Restaurant and Bar,"C7QH+XR6, विराटनगर 56613",,NP,,null
ALPHAM TANDOORI HOUSE,विराटनगर 56613,+9779825318990,977,,null
दार्जेलिङ मःमः,"F79M+MJV, विराटनगर 56613",+9779811027767,977,,null
Dream Garden Biratnagar,बैजनाथपुर 00977,+9779829374415,977,https://m.facebook.com,null
Laziz Pizza Restaurant,"Airport Rd, विराटनगर 56613",+9779802706739,977,https://facebook.com,null
Login cafe,"C7XJ+5MQ, विराटनगर 56613",+9779800812024,977,https://logincafe2024-com.webnode.page,www.logincafe@2024.com
Fulbari Family Restaurant,"F7VH+HJ4, विराटनगर 56613",+9779852024612,977,,null
Hira Fast Food,विराटनगर 56613,+9779815328643,977,https://hirakhajaghar.com.np,null
ब्याम्बो हाउस फ्यामिली रेष्ट्रो तथा बार,"F77H+8JM, डि.एस.पी. रोड, विराटनगर 56613",,NP,,null
