Title,Address,Phone,country_code,Website,Emails
Graveaty Restaurant and Bar,"छुस्या गल्ली, काठमाडौँ 44600",+97715913958,977,,null
Yala Cafe & Coffee Shop,"Kwabahal, ठमेल मार्ग, काठमाडौँ 44600",+97715367554,977,https://yalacafe.com,null
वालनट बिस्ट्रो,"Do-Cha Marga, काठमाडौँ 44600",+97714510484,977,https://walnutbistronepal.com,walnutbistro19@gmail.com;walnutbistro19@gmail.comt
Nepalaya Rooftop Restaurant,"Inside Hotel Nepalaya, Thamel, Kwabahal-17, काठमाडौँ 44600",+97715901321,977,https://hotelnepalaya.com,hnepalaya@gmail.com;info@hotelnepalaya.com;rimalkamal@gmail.com
Kathmandu Grill Restaurant,"चाक्सीवारी मार्ग, काठमाडौँ 44600",+97714700321,977,https://kathmandugrill.com,reservation@kathmandugrill.com
French Creperie,"Chibahal Marg 26, काठमाडौँ 44600",+9779843339062,977,petitfute.com,null
Samaya Rooftop Garden,"नरसिंह चोक मार्ग, काठमाडौँ 44600",+97714701566,977,https://facebook.com,null
Mustang Thakali By State III,"Ananda Bhawan, Uttar Dhoka Rd, काठमाडौँ 44600",+9779801876359,977,,null
वन र प्लेट,"Mandala Street, काठमाडौँ 44600",+97714701161,977,,null
ज्यास्पर रेस्टुरेन्ट,"P876, Thabahi Road, काठमाडौँ 44600",+9779803050739,977,jasperrestaurantthamel.com,null
रोडहाउस क्याफे,"Chaksibari Road, काठमाडौँ 44600",+97715367885,977,https://instagram.com,null
The Best Kathmandu Kitchen,"Thamel-26,Bhagawatisthan, काठमाडौँ 44600",+97714513355,977,tkathmandukitchen.com,null
भोजन गृह,"Dilli Bazar Height Marg, काठमाडौँ 44600",+97714520169,977,https://bhojangriha.com,null
Paleti Bhanchha Ghar,"JP Rd, काठमाडौँ 44600",+97715312911,977,,null
Lavie Garden,"बौद्ध सडक Ramhiti, काठमाडौँ 44600",+9779808996175,977,https://garden.laviehospitality.com.np,null
Busy Bee cafe Ktm,"P876+726, चाक्सीवारी मार्ग, काठमाडौँ 44600",+9779702690581,977,,null
Kathmandu Steak House Restaurant,"चाक्सीवारी मार्ग, काठमाडौँ 44600",+9779849234718,977,kathmandusteakhouse.com,null
रोजमेरी किचेन एण्ड कफी,"P865+PRM, JP Rd, काठमाडौँ 44600",+97715326066,977,https://rosemarykitchen.com.np,rosemarykitchenktm@gmail.com
Hard Rock Cafe Kathmandu,"Hard Rock Cafe, Sherpa Mall, दरवार मार्ग, काठमाडौँ 44600",+9779801986771,977,https://cafe.hardrock.com,null
नेपाली चुलो भोजनालय,"Lazimpat , Behind Hotel Gangjong, काठमाडौँ 44600",+97714002009,977,https://nepalichulo.com.np,info@nepalichulo.com.np
Chez Caroline,"Tanka Prasad Ghumti Sadak, 44600",+97715363070,977,https://chezcarolinenepal.com,caroline@mail.com.np;chezcarolinenepal@gmail.com;chezcarolinenepal@gmail.cominstagram
Carpe Diem Lounge & Bakery | Top Restaurant in Kathmandu,"Paknajol-16, Kaldhara Peepalbot, Thamel, Kathamandu 00977",+97714989042,977,https://carpediemloungebakery.com,null
Tahina Terrace,"मनकामना मार्ग, काठमाडौँ 44600",+97715970300,977,,null
ब्लुबेरी किचन,"पकनाजोल मार्ग, काठमाडौँ 44600",+97715316959,977,blueberry-kitchen.com,null
New Orleans Cafe,"चाक्सीवारी मार्ग 338/19, काठमाडौँ 44600",+97714700736,977,,null
चिम्नी रेस्टुरेन्ट,"Hotel Yak & Yeti, दरवार मार्ग, काठमाडौँ 44600",+97714248999,977,https://yakandyeti.com,null
MTR Kamalpokhari -Vegetarian Restaurant,"Kamaladi Rd, काठमाडौँ 44600",+9779802348609,977,https://lesherpaconcept.com,info@lesherpa.com.np
Bagaan Thakali Kitchen,"Post Box No 1437, त्रिदेवी सडक, काठमाडौँ 44600",+97714528949,977,https://facebook.com,null
Regal Flavors Restro and Bar,"दरवार मार्ग, काठमाडौँ 44700",+9779841387325,977,https://regalflavors.com,null
Thamel Kitchen,"मनकामना मार्ग, काठमाडौँ 44600",+97714443040,977,https://marriott.com,null
PanAsian KTM,"Teendhara Marg, काठमाडौँ 44600",+9779847466367,977,https://m.facebook.com,null
The Urvin's Garden Restaurant,"Cnr sardha marg and, Bishal Nagar Marg, काठमाडौँ 44600",+9779845228569,977,https://theurvins.wixsite.com,null
यान्गलिंग तिब्बती रेस्टुरेन्ट,"P884+GV9, Kaldhara Marg, काठमाडौँ 44600",+97715357408,977,https://facebook.com,null
Nagomi Japanese Restaurant,"JP Rd, काठमाडौँ 44600",+97715349053,977,,null
प्लेसेज रेष्ट्रो एण्ड बार,"चाक्सीवारी मार्ग, काठमाडौँ 44600",+97715914599,977,,null
"Yatri Cafe - Best Cafe In Basantapur,Kathmandu","Freak St, काठमाडौँ 44611",+9779761654906,977,,null
Maulik Kitchen,"नयाँ बजार मार्ग, काठमाडौँ 44600",+97714987704,977,,null
तेस्रो आँखा भोजनालय,"JP Rd, काठमाडौँ 44600",+97715360289,977,thirdeye.com.np,null
Nava Cafe & Restaurant,"P83F+7C8, काठमाडौँ 44600",+9779801017454,977,,null
Krishnarpan Restaurant,"Battisputali Rd, काठमाडौँ 44600",+97714479488,977,https://dwarikas.com,null
यान्गलिंग तिब्बती रेस्टुरेन्ट,"P884+GV9, Kaldhara Marg, काठमाडौँ 44600",+97715357408,977,https://facebook.com,null
Krua Thai Nepal Restaurant,"Tangal Marg, काठमाडौँ 44600",+97714524751,977,https://kruathainepal.com,info@thekruathai.com
१९०५ भोजनालय,"नागपोखरी मार्ग, काठमाडौँ 44600",+97714511348,977,https://facebook.com,null
Bagaichā - Best Fine Dining Restaurant in Kathmandu,"थिरबम सडक Ward No. 4, काठमाडौँ 44600",+97714541246,977,https://thebagaicha.com,codstudioindia@gmail.com
Nagomi Japanese Restaurant,"JP Rd, काठमाडौँ 44600",+97715349053,977,,null
Maulik Kitchen,"नयाँ बजार मार्ग, काठमाडौँ 44600",+97714987704,977,,null
एलिस भोजनालय,"दरवार मार्ग, काठमाडौँ 44600",+9775357318,977,https://alicerestaurant.com.np,null
Thamel Doner Kebab,"Near kathmandu grand hotel, चाक्सीवारी मार्ग, काठमाडौँ 44600",+9779841411215,977,,null
