Title,Address,Phone,country_code,Website,Emails
"The Cheap Restaurant, lakeside, pokhara, Street no 22","6XC5+52C, पोखरा 33700",,NP,,null
Utopia Garden & Snacks Bar,पोखरा 33700,+9779846114408,977,,null
OR2K pokhara,"Baidam Rd 6, Hallanchowk, Saleways Mart, Baidam Rd, पोखरा 33700",+97761457114,977,,null
Local Sukuti Restaurant,"6X66+4PM, पोखरा 33700",+9779856021931,977,,null
Site Restaurant and Bar,"Lakeside Rd 06, पोखरा 33700",+9779745286631,977,https://apisaipalgroup.com,null
Fresh Elements Restaurant & Bar,"Middle Path St 16, पोखरा 33700",+97761455744,977,freshelementsrestaurant.com.np,null
Du Chhuk Ken - Best Restaurant,"Main Street, पोखरा 33700",+97761590779,977,,null
फ्रान्सेली क्रिपेरी,"Baidam Rd, पोखरा 33700",+9779806667705,977,,null
रोजमेरी किचेन पोखरा,"Baidam Rd 17, पोखरा 33700",+97761457250,977,,null
Roadhouse Cafe Pokhara,पोखरा 33700,+97761457421,977,https://instagram.com,null
Byanjan,"Lakeside Rd 15, पोखरा 33700",+97761456271,977,https://byanjan.com,contact@byanjan.com;info@byanjan.com
Restaurant Taste of Boudha and Sherpa Bar,"Baidam Rd, पोखरा 33700",+9779828215851,977,https://instagram.com,null
Mo2'S Delights Pokhara ( Now MoM's Café & Bar),"Street No. 13, पोखरा 33700",+9779848510793,977,https://facebook.com,null
Moondance Restaurant & Bar,"Lakeside Rd, पोखरा 33700",+97761451835,977,https://moondancepokhara.com,info.moondance@gmail.com
Indian restaurant,"Sarangkot St 18, पोखरा 33700",+9779708079954,977,,null
Relax Kitchen & Bar - Best Food,"6X74+JX4, Hallanchowk Lakeside, पोखरा 33700",+97761591229,977,https://relaxkitchennbar.com,null
Caffe Concerto,पोखरा 33700,+97761453529,977,https://caffeconcertonepal.com,null
Sarowar Sky Bar and Lounge,"Lakeside Rd 14, पोखरा 33700",+97761506302,977,https://hotelsarowar.com,reservations@hotelsarowar.comcopyright;reservations@hotelsarowar.comoffers
Open House Restro And Lounge bar,"Lakeside Rd, पोखरा 33700",+97761590999,977,https://openhousepokhara.com,null
Annapurna Café & Restaurant,"Annapurna Cable Car Bottom Station, Sedi - 18, पोखरा 33700",+9779765933444,977,,null
Spice Nepal Pure Vegetarian,"16, पोखरा 33700",+9779846593776,977,,null
LITTLE WINDOWS Veg & Vegan Pokhara Restaurant,"Lakeside Rd, पोखरा 33700",+9779829143109,977,,null
Daddys Kitchen Pokhara,"Mustang Chowk, Himali Tole Marg, पोखरा 33700",+97761457967,977,,null
Tripura Lounge Bar,"Lakeside Rd 15, पोखरा 33700",+9779804170253,977,,null
"Green Beach Pokhara, Restaurant and Bar (BBQ)","Green Beach Pokhara, Lakeside Rd 16, पोखरा 33700",+9779806518404,977,,null
Chilly Bar & Restaurant,पोखरा 33700,+97761463614,977,,null
Welcome Restaurant,"6X46+M72, पोखरा 33700",,NP,,null
Lake Spice Restaurant,"6X64+3V2, पोखरा 33700",+9779802808663,977,,null
बिजी बी क्याफे,"Baidam Rd, पोखरा 33700",+9779856028475,977,https://cafebusybee.com,null
Soul Origin Cafe and Restaurant,"Lakeside, पोखरा 33700",+97761590680,977,https://instagram.com,null
Flying Spirit Organic Kitchen,पोखरा 33700,+9779814189416,977,https://instagram.com,null
Awesome restaurant and Bar- Best Family Restaurant in Pokhara. Indian and Continental food available here,"6XF3+C3F, पोखरा 33700",+9779806718967,977,https://facebook.com,null
Asian Tea House,"Lakeside Rd, 06Pokhara 33700",+9779804108918,977,https://asianteahouse.com,null
पोखरा फुड ल्याण्ड,"Lakeside Rd 6, पोखरा 33700",+9779816618266,977,,null
Damaru Foodcourt and Viewpoint,पोखरा 33700,+9779846858344,977,,null
Raksi Sukuti: 24 Hours Food & Liquor Delivery In Pokhara,"Jarebar, पोखरा 33700",+9779802856990,977,https://raksisukuti.com,raksisukuti@gmail.com
Tara's Restaurant (Nepalese Vegetarian),"Street No. 13 6, पोखरा 33700",+9779813258296,977,,null
Natssul Korean Restaurant,"Lakeside Rd, पोखरा 33700",+9779806743394,977,https://natssul.com,natssul@live.com
Rice Garden Restaurant & Bar,"Lakeside Rd 6, पोखरा 33700",+97761590452,977,https://ricegardenrestaurant.com,webmaster@ricegardenrestaurant.com
Taste of Punjab ਪੰਜਾਬ ਦਾ ਸਵਾਦ,"5XWC+84P, Road, पोखरा 33700",+97761456678,977,,null
Silk Road restaurant and Bar,"Baidam Rd, पोखरा 33800",,NP,,null
Tagaaro Terrace restaurant,"21, पोखरा 33700",+9779826111439,977,,null
Sweet Memories Restaurant,"Hallanchowk, पोखरा 33700",+97761591527,977,,null
डुंगा रेष्ट्रो एण्ड लाउन्ज बार,"Lakeside Rd 14, पोखरा 33700",+97761453321,977,,null
Momotarou Japanese Restaurant Pokhara,"Lakeside Rd 6, पोखरा 33700",+9779849828107,977,,null
