Title,Address,Phone,Website,Emails
Kathmandu Grill Restaurant,"चाक्सीवारी मार्ग, काठमाडौँ 44600",014700321,https://kathmandugrill.com,null
Bagaan Thakali Kitchen,"Post Box No 1437, त्रिदेवी सडक, काठमाडौँ 44600",014528949,https://facebook.com,null
Little Buddha Restaurant,"नरसिंह चोक मार्ग, काठमाडौँ 44600",014548909,https://instagram.com,null
Bawarchi Nepal,"टंक प्रसाद घुम्ती सडक, काठमाडौँ 44600",015363720,,null
Chez Caroline,"Tanka Prasad Ghumti Sadak, 44600",015363070,https://chezcarolinenepal.com,null
Chick´n Falafal,"P876+V9V, पर्यटन मार्ग, काठमाडौँ 44600",014422496,,null
पन्जावी रेस्टुरेन्ट,"राम साह पथ, काठमाडौँ 44600",015369889,,null
वालनट बिस्ट्रो,"Do-Cha Marga, काठमाडौँ 44600",014510484,https://walnutbistronepal.com,null
Aburi,"P87F+4M6, मनकामना मार्ग, काठमाडौँ 44600",,,null
Nepalaya Rooftop Restaurant,"Inside Hotel Nepalaya, Thamel, Kwabahal-17, काठमाडौँ 44600",015901321,https://hotelnepalaya.com,null
ज्यास्पर रेस्टुरेन्ट,"P876, Thabahi Road, काठमाडौँ 44600",9803050739,https://jasperrestaurantthamel.com,null
तेस्रो आँखा भोजनालय,"JP Rd, काठमाडौँ 44600",015360289,https://thirdeye.com.np,null
Vinoliva Restaurant & Bar,"Narayanhiti Palace Museum North Gate Rd, काठमाडौँ 44600",9826860810,https://vinolivarestaurant.com.np,null
Thamel Doner Kebab,"Near kathmandu grand hotel, चाक्सीवारी मार्ग, काठमाडौँ 44600",9841411215,,null
Copacabana Kathmandu Restaurant,"Gairidhara Sadak, काठमाडौँ 44600",9810786445,https://facebook.com,null
नेपाली चुलो भोजनालय,"Lazimpat , Behind Hotel Gangjong, काठमाडौँ 44600",014002009,https://nepalichulo.com.np,null
,,,,null
Kathmandu Steak House Restaurant,"चाक्सीवारी मार्ग, काठमाडौँ 44600",9849234718,https://kathmandusteakhouse.com,null
The Best Kathmandu Kitchen,"Thamel-26,Bhagawatisthan, काठमाडौँ 44600",014513355,https://tkathmandukitchen.com,null
French Creperie,"Chibahal Marg 26, काठमाडौँ 44600",9843339062,https://petitfute.com,null
